# id	subject	args	expected_status	expected_reason	features
and-taken	litInSCAnd	1,3	ok	-	bools,closures,evaluation_order,make,append,slices,loops
and-short	litInSCAnd	0,3	ok	-	bools,closures,evaluation_order,make,append,slices,loops
and-zero-len	litInSCAnd	1,0	ok	-	bools,closures,evaluation_order,make,append,slices,loops
or-taken	litInSCOr	1,2	ok	-	bools,closures,evaluation_order,make,append,slices,loops
or-short	litInSCOr	0,2	ok	-	bools,closures,evaluation_order,make,append,slices,loops
capture-three	litInSCCapture	2,3	ok	-	bools,closures,evaluation_order,make,append,slices,loops,range
capture-short	litInSCCapture	0,3	ok	-	bools,closures,evaluation_order,make,append,slices,loops,range
outside-four	outsideCallLit	4	ok	-	closures,make,append,slices,loops
outside-zero	outsideCallLit	0	ok	-	closures,make,append,slices,loops
outside-then-sc	outsideThenSC	1,5	ok	-	bools,evaluation_order,make,append,slices,loops
outside-then-sc-short	outsideThenSC	0,5	ok	-	bools,evaluation_order,make,append,slices,loops
e6-recv-len-in-sc	e6RecvLenInSC	1,3	panic	interface conversion	bools,closures,channels,interfaces,type_assertions,slices,indexing,len,panic,evaluation_order
e6-recv-len-outside	e6RecvLenOutside	3	panic	interface conversion	closures,channels,interfaces,type_assertions,slices,indexing,len,panic,evaluation_order
admit-new	admitNewInSC	1,4	ok	-	bools,closures,evaluation_order,new,pointers
admit-new-short	admitNewInSC	0,4	ok	-	bools,closures,evaluation_order,new,pointers
admit-copy	admitCopyInSC	0,5	ok	-	bools,closures,evaluation_order,copy,make,slices,literals
admit-copy-short	admitCopyInSC	1,5	ok	-	bools,closures,evaluation_order,copy,make,slices,literals
admit-maplit	admitMapLitInSC	1,7	ok	-	bools,closures,evaluation_order,maps,literals
admit-maplit-short	admitMapLitInSC	0,7	ok	-	bools,closures,evaluation_order,maps,literals
admit-splat-in-lit	admitSplatInLitInSC	1,2	ok	-	bools,closures,evaluation_order,calls,multi_result,functions
admit-splat-in-lit-short	admitSplatInLitInSC	0,2	ok	-	bools,closures,evaluation_order,calls,multi_result,functions
admit-elided-in-lit	admitElidedInLitInSC	1,2	ok	-	bools,closures,evaluation_order,literals,pointers,structs,slices
admit-elided-in-lit-short	admitElidedInLitInSC	0,2	ok	-	bools,closures,evaluation_order,literals,pointers,structs,slices
