# id	subject	args	expected_status	expected_reason	features
call-arg	recvOrderCallArg	-	ok	-	channels,calls,len,evaluation_order
return-list	recvOrderReturnList	-	ok	-	channels,returns,multi_result,len,evaluation_order
composite-lit	recvOrderCompositeLit	-	ok	-	channels,literals,slices,len,evaluation_order
multi-assign	recvOrderMultiAssign	-	ok	-	channels,multi_assign,len,evaluation_order
binary	recvOrderBinary	-	ok	-	channels,len,evaluation_order
for-init	recvOrderForInit	-	ok	-	channels,loops,len,evaluation_order
for-cond	recvOrderForCond	-	ok	-	channels,loops,len,evaluation_order
else-if	recvOrderElseIf	-	ok	-	channels,if,len,evaluation_order
switch-case	recvOrderSwitchCase	-	ok	-	channels,switch,len,evaluation_order
dead-recv-len-operand	recvOrderDeadRecvLenOperand	7	panic	interface conversion	channels,interfaces,slices,indexing,len,panic,evaluation_order
