# id	subject	args	expected_status	expected_reason	features
four-typical	dotFour	2,3,4,5	ok	-	slices,indexing,loops,if
four-zero-vec	dotFour	0,0,7,9	ok	-	slices,indexing,loops,if
four-same	dotFour	5,5,5,5	ok	-	slices,indexing,loops,if
four-wrap	dotFour	9223372036854775807,3,3,1	ok	-	slices,indexing,loops,if,widths
four-wrap-u64max	dotFour	18446744073709551615,3,3,1	ok	-	slices,indexing,loops,if,widths
one	dotOne	6,7	ok	-	slices,indexing,loops,if
one-wrap	dotOne	9223372036854775807,9223372036854775807	ok	-	slices,indexing,loops,if,widths
one-wrap-u64max	dotOne	18446744073709551615,18446744073709551615	ok	-	slices,indexing,loops,if,widths
empty	dotEmpty	-	ok	-	slices,indexing,loops,if
uneven	dotUneven	10,20,999,3,4	ok	-	slices,indexing,loops,if
harness-r-empty	dotprod_harness_r	0,5	ok	-	slices,indexing,loops,if,arrays
harness-r-one	dotprod_harness_r	1,7	ok	-	slices,indexing,loops,if,arrays
harness-r-mid	dotprod_harness_r	5,3	ok	-	slices,indexing,loops,if,arrays
harness-r-cap	dotprod_harness_r	8,2	ok	-	slices,indexing,loops,if,arrays
harness-r-wrap-max	dotprod_harness_r	8,9223372036854775807	ok	-	slices,indexing,loops,if,arrays,widths
harness-r-wrap-62	dotprod_harness_r	8,4611686018427387904	ok	-	slices,indexing,loops,if,arrays,widths
harness-r-wrap-u64max	dotprod_harness_r	8,18446744073709551615	ok	-	slices,indexing,loops,if,arrays,widths
harness-r-wrap-63	dotprod_harness_r	8,9223372036854775808	ok	-	slices,indexing,loops,if,arrays,widths
