# id	subject	args	expected_status	expected_reason	features
exp-zero	powMod	5,0,1000000007	ok	-	ints,widths,loops,if
exp-one	powMod	7,1,1000000007	ok	-	ints,widths,loops,if
small	powMod	3,13,1000000007	ok	-	ints,widths,loops,if
base-reduce	powMod	10,3,7	ok	-	ints,widths,loops,if
zero-zero	powMod	0,0,7	ok	-	ints,widths,loops,if
large-exp	powMod	3,9223372036854775807,1000003	ok	-	ints,widths,loops,if
mod-one	powMod	123,456,1	ok	-	ints,widths,loops,if
mod-zero	powMod	5,3,0	ok	-	ints,widths,loops,if
wrap	powMod	6074000999,2,9223372036854775807	ok	-	ints,widths,loops,if
two-ten	powTwo	10	ok	-	ints,widths,loops,if
two-large	powTwo	9223372036854775807	ok	-	ints,widths,loops,if
harness-typical	powmod_harness	3,200,1000000007	ok	-	ints,widths,loops,if
harness-extreme	powmod_harness	9223372036854775807,9223372036854775806,999999937	ok	-	ints,widths,loops,if
