# id	subject	args	expected_status	expected_reason	features
n0	countPrimes	0	ok	-	slices,indexing,loops,bools,if,ints
n1	countPrimes	1	ok	-	slices,indexing,loops,bools,if,ints
n2	countPrimes	2	ok	-	slices,indexing,loops,bools,if,ints
n10	countPrimes	10	ok	-	slices,indexing,loops,bools,if,ints
n30	countPrimes	30	ok	-	slices,indexing,loops,bools,if,ints
n60	countPrimes	60	ok	-	slices,indexing,loops,bools,if,ints
prime	isPrimeSieved	30,13	ok	-	slices,indexing,loops,bools,if,ints
composite	isPrimeSieved	30,21	ok	-	slices,indexing,loops,bools,if,ints
beyond	isPrimeSieved	10,13	ok	-	slices,indexing,loops,bools,if,ints
harness-mid	sieve_harness	30	ok	-	slices,indexing,loops,bools,if,ints
harness-zero	sieve_harness	0	ok	-	slices,indexing,loops,bools,if,ints
