# id	subject	args	expected_status	expected_reason	features
# GENERATED by tools/stdlibfuzz/fieldsgen (seed 20260903, n 500, group 50).
group-00	fuzzGroup0	-	ok	-	stdlib,strings,slices,unicode,loops
group-01	fuzzGroup1	-	ok	-	stdlib,strings,slices,unicode,loops
group-02	fuzzGroup2	-	ok	-	stdlib,strings,slices,unicode,loops
group-03	fuzzGroup3	-	ok	-	stdlib,strings,slices,unicode,loops
group-04	fuzzGroup4	-	ok	-	stdlib,strings,slices,unicode,loops
group-05	fuzzGroup5	-	ok	-	stdlib,strings,slices,unicode,loops
group-06	fuzzGroup6	-	ok	-	stdlib,strings,slices,unicode,loops
group-07	fuzzGroup7	-	ok	-	stdlib,strings,slices,unicode,loops
group-08	fuzzGroup8	-	ok	-	stdlib,strings,slices,unicode,loops
group-09	fuzzGroup9	-	ok	-	stdlib,strings,slices,unicode,loops
