# id	go_dir	gobra_json	function	arg_ints	expected_status	features	expected_reason
litmus/while1	Corpus/coverage/litmus/while1	artifacts/gobra-smoke/work/litmus/while1/main.go.internal.json	test	6,7	ok	ints,loops	-
litmus/if-return	Corpus/coverage/litmus/if-return	artifacts/gobra-smoke/work/litmus/if-return/main.go.internal.json	ifReturn	7	ok	ints,if,return	-
litmus/if-init-scope	Corpus/coverage/litmus/if-init-scope	artifacts/gobra-smoke/work/litmus/if-init-scope/main.go.internal.json	ifInitScope	-	ok	if,scoping,short_decl	-
litmus/break-continue	Corpus/coverage/litmus/break-continue	artifacts/gobra-smoke/work/litmus/break-continue/main.go.internal.json	breakContinue	-	ok	ints,loops,if,break,continue	-
litmus/multi-assign	Corpus/coverage/litmus/multi-assign	artifacts/gobra-smoke/work/litmus/multi-assign/main.go.internal.json	foo	-	ok	ints,multi_assign	-
litmus/pointer-identity	Corpus/coverage/litmus/pointer-identity	artifacts/gobra-smoke/work/litmus/pointer-identity/main.go.internal.json	test	-	ok	pointers,identity	-
litmus/swap	Corpus/coverage/litmus/swap	artifacts/gobra-smoke/work/litmus/swap/main.go.internal.json	client	-	ok	structs,pointers,fields,calls	-
litmus/scalars	Corpus/coverage/litmus/scalars	artifacts/gobra-smoke/work/litmus/scalars/main.go.internal.json	scalars	-	ok	ints,comparisons,bools,division,modulo	-
litmus/divide-by-zero	Corpus/coverage/litmus/divide-by-zero	artifacts/gobra-smoke/work/litmus/divide-by-zero/main.go.internal.json	divideByZero	-	panic	ints,division,panic	integer divide by zero
litmus/arrays	Corpus/coverage/litmus/arrays	artifacts/gobra-smoke/work/litmus/arrays/main.go.internal.json	arrays	-	ok	arrays,indexing,assignment	-
litmus/array-len-cap	Corpus/coverage/litmus/array-len-cap	artifacts/gobra-smoke/work/litmus/array-len-cap/main.go.internal.json	arrayLenCap	-	ok	arrays,len,cap	-
litmus/array-zero	Corpus/coverage/litmus/array-zero	artifacts/gobra-smoke/work/litmus/array-zero/main.go.internal.json	arrayZero	-	ok	arrays,zero_values,indexing	-
litmus/nested-arrays	Corpus/coverage/litmus/nested-arrays	artifacts/gobra-smoke/work/litmus/nested-arrays/main.go.internal.json	nestedArrays	-	ok	arrays,nested,indexing	-
litmus/array-param-return	Corpus/coverage/litmus/array-param-return	artifacts/gobra-smoke/work/litmus/array-param-return/main.go.internal.json	arrayParamReturn	-	ok	arrays,calls,returns,value_copy	-
litmus/pointer-array	Corpus/coverage/litmus/pointer-array	artifacts/gobra-smoke/work/litmus/pointer-array/main.go.internal.json	pointerArray	-	ok	arrays,pointers,indexing,assignment	-
litmus/array-bounds	Corpus/coverage/litmus/array-bounds	artifacts/gobra-smoke/work/litmus/array-bounds/main.go.internal.json	arrayBounds	-	panic	arrays,indexing,panic	index out of range
litmus/array-copy	Corpus/coverage/litmus/array-copy	artifacts/gobra-smoke/work/litmus/array-copy/main.go.internal.json	arrayCopy	-	ok	arrays,value_copy,indexing,assignment	-
litmus/array-comparable	Corpus/coverage/litmus/array-comparable	artifacts/gobra-smoke/work/litmus/array-comparable/main.go.internal.json	arrayComparable	-	ok	arrays,equality,comparability	-
litmus/array-slice-alias	Corpus/coverage/litmus/array-slice-alias	artifacts/gobra-smoke/work/litmus/array-slice-alias/main.go.internal.json	arraySliceAlias	-	ok	arrays,slices,aliasing,len,cap	-
litmus/make-slice	Corpus/coverage/litmus/make-slice	artifacts/gobra-smoke/work/litmus/make-slice/main.go.internal.json	makeSlice	-	ok	slices,make,indexing,len,cap	-
litmus/make-slice-cap-bounds	Corpus/coverage/litmus/make-slice-cap-bounds	artifacts/gobra-smoke/work/litmus/make-slice-cap-bounds/main.go.internal.json	makeSliceCapBounds	-	panic	slices,make,panic	makeslice: cap out of range
litmus/slice-literal	Corpus/coverage/litmus/slice-literal	artifacts/gobra-smoke/work/litmus/slice-literal/main.go.internal.json	sliceLiteral	-	ok	slices,literals,indexing,len,cap	-
litmus/slice-copy	Corpus/coverage/litmus/slice-copy	artifacts/gobra-smoke/work/litmus/slice-copy/main.go.internal.json	sliceCopy	-	ok	slices,copy,overlap	-
litmus/slice-append	Corpus/coverage/litmus/slice-append	artifacts/gobra-smoke/work/litmus/slice-append/main.go.internal.json	sliceAppend	-	ok	slices,append,aliasing	-
litmus/slice-header-by-value	Corpus/coverage/litmus/slice-header-by-value	artifacts/gobra-smoke/work/litmus/slice-header-by-value/main.go.internal.json	sliceHeaderByValue	-	ok	slices,calls,append,aliasing,value_copy	-
litmus/slice-nil-empty	Corpus/coverage/litmus/slice-nil-empty	artifacts/gobra-smoke/work/litmus/slice-nil-empty/main.go.internal.json	sliceNilEmpty	-	ok	slices,nil,empty,append	-
litmus/append-nil	Corpus/coverage/litmus/append-nil	artifacts/gobra-smoke/work/litmus/append-nil/main.go.internal.json	appendNil	-	ok	slices,nil,append	-
litmus/append-overlap	Corpus/coverage/litmus/append-overlap	artifacts/gobra-smoke/work/litmus/append-overlap/main.go.internal.json	appendOverlap	-	ok	slices,append,overlap,variadic	-
litmus/full-slice	Corpus/coverage/litmus/full-slice	artifacts/gobra-smoke/work/litmus/full-slice/main.go.internal.json	fullSlice	-	ok	slices,full_slice,aliasing	-
litmus/full-slice-bounds	Corpus/coverage/litmus/full-slice-bounds	artifacts/gobra-smoke/work/litmus/full-slice-bounds/main.go.internal.json	fullSliceBounds	-	panic	slices,full_slice,panic	slice bounds out of range
litmus/make-slice-zero	Corpus/coverage/litmus/make-slice-zero	artifacts/gobra-smoke/work/litmus/make-slice-zero/main.go.internal.json	makeSliceZero	-	ok	slices,make,zero_len,append	-
litmus/copy-nil	Corpus/coverage/litmus/copy-nil	artifacts/gobra-smoke/work/litmus/copy-nil/main.go.internal.json	copyNil	-	ok	slices,copy,nil	-
litmus/copy-short	Corpus/coverage/litmus/copy-short	artifacts/gobra-smoke/work/litmus/copy-short/main.go.internal.json	copyShort	-	ok	slices,copy,prefix	-
litmus/map-basic	Corpus/coverage/litmus/map-basic	artifacts/gobra-smoke/work/litmus/map-basic/main.go.internal.json	mapBasic	-	ok	maps,nil,make,indexing,len	-
litmus/map-comma-ok	Corpus/coverage/litmus/map-comma-ok	artifacts/gobra-smoke/work/litmus/map-comma-ok/main.go.internal.json	mapCommaOk	-	ok	maps,comma_ok,indexing	-
litmus/map-alias	Corpus/coverage/litmus/map-alias	artifacts/gobra-smoke/work/litmus/map-alias/main.go.internal.json	mapAlias	-	ok	maps,aliasing,len	-
litmus/map-nil-assign	Corpus/coverage/litmus/map-nil-assign	artifacts/gobra-smoke/work/litmus/map-nil-assign/main.go.internal.json	mapNilAssign	-	panic	maps,nil,panic	assignment to entry in nil map
litmus/map-nil-eq	Corpus/coverage/litmus/map-nil-eq	artifacts/gobra-smoke/work/litmus/map-nil-eq/main.go.internal.json	mapNilEq	-	ok	maps,nil,equality,comma_ok	-
litmus/map-bool-values	Corpus/coverage/litmus/map-bool-values	artifacts/gobra-smoke/work/litmus/map-bool-values/main.go.internal.json	mapBoolValues	-	ok	maps,bools,zero_values	-
