# id	go_dir	gobra_json	function	arg_ints	expected_status	features	expected_reason
plain/while1	Differential/plain/while1	artifacts/gobra-smoke/work/features/while1/while1.gobra.internal.json	test_bda1d7d_F	6,7	ok	ints,loops	-
plain/if-return	Differential/plain/if-return	artifacts/gobra-smoke/work/features/if-return/if-return.gobra.internal.json	ifReturn_bda1d7d_F	7	ok	ints,if,return	-
plain/if-init-scope	Differential/plain/if-init-scope	artifacts/gobra-smoke/work/features/if-init-scope/if-init-scope.gobra.internal.json	ifInitScope_bda1d7d_F	-	ok	if,scoping,short_decl	-
plain/break-continue	Differential/plain/break-continue	artifacts/gobra-smoke/work/features/break-continue/break-continue.gobra.internal.json	breakContinue_bda1d7d_F	-	ok	ints,loops,if,break,continue	-
plain/multi-assign	Differential/plain/multi-assign	artifacts/gobra-smoke/work/features/multi-assign/multi-assign.gobra.internal.json	foo_bda1d7d_F	-	ok	ints,multi_assign	-
plain/pointer-identity	Differential/plain/pointer-identity	artifacts/gobra-smoke/work/features/pointer-identity/pointer-identity.gobra.internal.json	test_bda1d7d_F	-	ok	pointers,identity	-
plain/swap	Differential/plain/swap	artifacts/gobra-smoke/work/examples/swap/swap.gobra.internal.json	client_bda1d7d_F	-	ok	structs,pointers,fields,calls	-
plain/scalars	Differential/plain/scalars	artifacts/gobra-smoke/work/features/scalars/scalars.gobra.internal.json	scalars_bda1d7d_F	-	ok	ints,comparisons,bools,division,modulo	-
plain/divide-by-zero	Differential/plain/divide-by-zero	artifacts/gobra-smoke/work/features/divide-by-zero/divide-by-zero.gobra.internal.json	divideByZero_bda1d7d_F	-	panic	ints,division,panic	-
plain/arrays	Differential/plain/arrays	artifacts/gobra-smoke/work/features/arrays/arrays.gobra.internal.json	arrays_bda1d7d_F	-	ok	arrays,indexing,assignment	-
plain/array-len-cap	Differential/plain/array-len-cap	artifacts/gobra-smoke/work/features/array-len-cap/array-len-cap.gobra.internal.json	arrayLenCap_bda1d7d_F	-	ok	arrays,len,cap	-
plain/array-zero	Differential/plain/array-zero	artifacts/gobra-smoke/work/features/array-zero/array-zero.gobra.internal.json	arrayZero_bda1d7d_F	-	ok	arrays,zero_values,indexing	-
plain/nested-arrays	Differential/plain/nested-arrays	artifacts/gobra-smoke/work/features/nested-arrays/nested-arrays.gobra.internal.json	nestedArrays_bda1d7d_F	-	ok	arrays,nested,indexing	-
plain/array-param-return	Differential/plain/array-param-return	artifacts/gobra-smoke/work/features/array-param-return/array-param-return.gobra.internal.json	arrayParamReturn_bda1d7d_F	-	ok	arrays,calls,returns,value_copy	-
plain/pointer-array	Differential/plain/pointer-array	artifacts/gobra-smoke/work/features/pointer-array/pointer-array.gobra.internal.json	pointerArray_bda1d7d_F	-	ok	arrays,pointers,indexing,assignment	-
plain/array-bounds	Differential/plain/array-bounds	artifacts/gobra-smoke/work/features/array-bounds/array-bounds.gobra.internal.json	arrayBounds_bda1d7d_F	-	panic	arrays,indexing,panic	-
plain/array-copy	Differential/plain/array-copy	artifacts/gobra-smoke/work/features/array-copy/array-copy.gobra.internal.json	arrayCopy_bda1d7d_F	-	ok	arrays,value_copy,indexing,assignment	-
plain/array-comparable	Differential/plain/array-comparable	artifacts/gobra-smoke/work/features/array-comparable/array-comparable.gobra.internal.json	arrayComparable_bda1d7d_F	-	ok	arrays,equality,comparability	-
plain/array-slice-alias	Differential/plain/array-slice-alias	artifacts/gobra-smoke/work/features/array-slice-alias/array-slice-alias.gobra.internal.json	arraySliceAlias_bda1d7d_F	-	ok	arrays,slices,aliasing,len,cap	-
plain/make-slice	Differential/plain/make-slice	artifacts/gobra-smoke/work/features/make-slice/make-slice.gobra.internal.json	makeSlice_bda1d7d_F	-	ok	slices,make,indexing,len,cap	-
plain/make-slice-cap-bounds	Differential/plain/make-slice-cap-bounds	artifacts/gobra-smoke/work/features/make-slice-cap-bounds/make-slice-cap-bounds.gobra.internal.json	makeSliceCapBounds_bda1d7d_F	-	panic	slices,make,panic	-
