dir	package	files	loc	funcs	methods	stdlib_imports	internal_imports	external_imports
.	cedar	6	586	20	23	bytes,encoding/json,fmt,io,iter,maps,slices,time	ast,internal/eval,internal/json,internal/mapset,internal/parser,types,x/exp/ast	golang.org/x/exp/constraints
ast	ast	7	605	29	64	bytes,net/netip,time	internal/json,internal/parser,types,x/exp/ast	-
internal	internal	1	14	0	0	fmt	-	-
internal/consts	consts	1	19	1	0	-	-	-
internal/eval	eval	7	2725	118	53	errors,fmt,slices	internal/consts,internal/extensions,internal/mapset,types,x/exp/ast	-
internal/extensions	extensions	1	41	1	0	-	types	-
internal/json	json	4	816	12	21	bytes,encoding/json,fmt,strings	internal/consts,internal/extensions,types,x/exp/ast	-
internal/mapset	mapset	2	235	3	20	bytes,encoding/json,fmt,iter,maps,slices	-	-
internal/parser	parser	6	2259	20	105	bytes,fmt,io,slices,strconv,strings,unicode/utf8	internal/consts,internal/extensions,internal/mapset,internal/rust,types,x/exp/ast	-
internal/rust	rust	2	847	15	0	fmt,strings,unicode,unicode/utf8	-	-
internal/testutil	testutil	1	168	13	0	bytes,encoding/json,errors,reflect,slices	-	-
internal/testvalidate	testvalidate	1	177	4	0	encoding/json,fmt,testing	,internal/testutil,x/exp/ast,x/exp/schema/resolved,x/exp/schema/validate	-
types	types	18	2238	23	110	bytes,cmp,encoding/binary,encoding/json,errors,fmt,hash/fnv,iter,maps,math,net/netip,slices,strconv,strings,time,unicode	internal,internal/consts,internal/mapset,internal/rust	golang.org/x/exp/constraints
x/exp/ast	ast	9	953	36	127	net/netip,time	internal/consts,types	-
x/exp/batch	batch	1	402	12	0	context,errors,fmt,maps,slices	,internal/consts,internal/eval,internal/mapset,types,x/exp/ast	-
x/exp/dot	dot	1	76	3	0	fmt,io,iter,strconv	types	-
x/exp/eval	eval	1	82	8	0	-	internal/eval,types,x/exp/ast	-
x/exp/schema	schema	1	73	1	8	-	x/exp/schema/ast,x/exp/schema/internal/json,x/exp/schema/internal/parser,x/exp/schema/resolved	-
x/exp/schema/ast	ast	2	198	12	8	-	types	-
x/exp/schema/internal/json	json	1	454	9	2	encoding/json,fmt,sort	types,x/exp/schema/ast	-
x/exp/schema/internal/parser	parser	3	1468	10	43	bytes,fmt,maps,slices,strings,unicode/utf8	internal/parser,internal/rust,types,x/exp/schema/ast	-
x/exp/schema/resolved	resolved	2	695	9	19	fmt,strings	types,x/exp/schema/ast	-
x/exp/schema/validate	validate	10	3143	48	83	cmp,errors,fmt,maps,slices,strings	internal/parser,internal/rust,types,x/exp/ast,x/exp/schema/resolved	-
x/exp/types	exptypes	1	210	7	2	encoding/json	types,x/exp/schema/resolved,x/exp/schema/validate	-
