key	functions	sole_blocker_functions	packages
errors.Join	29	24	4
FR-12:range-over-func	21	0	8
bytes.Buffer.WriteRune	19	15	2
encoding/json.Marshal	18	10	6
imported-generic-inst:iter.Seq	18	0	8
slices.Contains	15	13	4
encoding/json.Unmarshal	14	11	6
bytes.Buffer.Bytes	12	5	5
maps.Keys	10	0	3
slices.Collect	8	0	2
sig:imported-generic-inst:iter.Seq	7	4	3
errors.Is	6	4	2
maps.Clone	6	4	4
imported-generic-inst:iter.Seq2	5	0	3
strings.Compare	5	3	2
hash/fnv.New64	4	0	1
hash.Hash64.Sum64	4	0	1
hash.Hash64.Write	4	0	1
net/netip.Prefix.Bits	4	0	1
slices.Sorted	4	0	1
strings.Builder.WriteRune	4	3	3
unicode/utf8.DecodeRune	4	3	3
encoding/json.Decoder.Decode	3	0	2
encoding/json.NewDecoder	3	0	2
errors.As	3	1	1
FR-13:anon-struct-type	3	0	2
maps.Values	3	0	1
net/netip.Addr.BitLen	3	0	1
net/netip.Prefix.Addr	3	1	1
sig:imported-generic-inst:iter.Seq2	3	2	2
slices.Clone	3	1	2
strconv.ParseInt	3	2	2
strings.Contains	3	3	1
strings.TrimPrefix	3	0	2
strings.TrimSuffix	3	0	2
bytes.NewBuffer	2	1	2
bytes.NewReader	2	0	2
context.Context.Err	2	0	1
FR-13:anon-struct-literal	2	0	1
math.Pow10	2	1	1
net/netip.Addr.Is4In6	2	0	1
net/netip.Addr.String	2	0	1
slices.Compact	2	1	1
strconv.Quote	2	1	2
strings.HasPrefix	2	1	2
strings.Index	2	1	1
time.Date	2	0	1
time.Time.UnixMilli	2	1	1
time.Time.UTC	2	0	1
time.UnixMilli	2	0	1
unicode.IsDigit	2	0	1
bytes.Join	1	0	1
encoding/binary.Write	1	0	1
encoding/json.Decoder.DisallowUnknownFields	1	0	1
encoding/json.Decoder.UseNumber	1	0	1
encoding/json.Number.Int64	1	0	1
fmt.Fprintln	1	0	1
goto(FR-11/20 shapes only)	1	1	1
io.Reader.Read	1	0	1
io.Writer.Write	1	0	1
maps.All	1	0	1
maps.Copy	1	1	1
net/netip.Addr.Is4	1	1	1
net/netip.Addr.Is6	1	1	1
net/netip.Addr.IsLoopback	1	0	1
net/netip.Addr.IsMulticast	1	0	1
net/netip.Addr.Zone	1	0	1
net/netip.ParseAddr	1	0	1
net/netip.ParsePrefix	1	0	1
net/netip.Prefix.Contains	1	0	1
net/netip.PrefixFrom	1	0	1
net/netip.Prefix.MarshalBinary	1	0	1
net/netip.Prefix.Masked	1	0	1
net/netip.Prefix.String	1	0	1
slices.Compare	1	0	1
slices.Concat	1	0	1
sort.Strings	1	1	1
strconv.QuoteRune	1	0	1
strings.Count	1	0	1
strings.HasSuffix	1	1	1
strings.LastIndex	1	1	1
strings.ReplaceAll	1	0	1
time.Duration.Milliseconds	1	1	1
time.Time.Add	1	0	1
time.Time.After	1	0	1
time.Time.Before	1	0	1
time.Time.Date	1	0	1
time.Time.Day	1	0	1
time.Time.Format	1	0	1
time.Time.Hour	1	0	1
time.Time.Minute	1	0	1
time.Time.Month	1	0	1
time.Time.Nanosecond	1	0	1
time.Time.Second	1	0	1
time.Time.Year	1	0	1
unicode.Is	1	1	1
unicode/utf8.FullRune	1	0	1
unicode/utf8.ValidRune	1	1	1
