package	functions	lowers_static	refused_static	share_lowers
cedargo	43	34	9	79.1%
cedargo/ast	93	92	1	98.9%
cedargo/internal/consts	1	1	0	100.0%
cedargo/internal/eval	171	159	12	93.0%
cedargo/internal/extensions	1	1	0	100.0%
cedargo/internal/json	33	28	5	84.8%
cedargo/internal/mapset	23	17	6	73.9%
cedargo/internal/parser	125	101	24	80.8%
cedargo/internal/rust	15	10	5	66.7%
cedargo/types	133	82	51	61.7%
cedargo/x/exp/ast	163	163	0	100.0%
cedargo/x/exp/batch	12	8	4	66.7%
cedargo/x/exp/dot	3	0	3	0.0%
cedargo/x/exp/eval	8	8	0	100.0%
cedargo/x/exp/schema	9	9	0	100.0%
cedargo/x/exp/schema/ast	20	20	0	100.0%
cedargo/x/exp/schema/internal/json	11	8	3	72.7%
cedargo/x/exp/schema/internal/parser	53	43	10	81.1%
cedargo/x/exp/schema/resolved	28	22	6	78.6%
cedargo/x/exp/schema/validate	131	80	51	61.1%
cedargo/x/exp/types	9	6	3	66.7%
cedark8s/internal/schema	38	36	2	94.7%
