pkg	kind	name	loc	refused_calls	supplied_calls	lang_refusals	imported_types	verdict
cedargo	func	Authorize	45	-	-	FR-12:range-over-func,imported-generic-inst:iter.Seq2	-	refused(static)
cedargo	func	newPolicy	3	-	-	-	-	lowers(static)
cedargo	method	Policy.MarshalJSON	4	-	-	-	-	lowers(static)
cedargo	method	Policy.UnmarshalJSON	9	-	-	-	-	lowers(static)
cedargo	method	Policy.MarshalCedar	8	bytes.Buffer.Bytes	-	-	bytes.Buffer	refused(static)
cedargo	method	Policy.UnmarshalCedar	8	-	-	-	-	lowers(static)
cedargo	func	NewPolicyFromAST	4	-	-	-	-	lowers(static)
cedargo	method	Policy.Annotations	7	-	-	-	-	lowers(static)
cedargo	method	Policy.Effect	3	-	-	-	-	lowers(static)
cedargo	method	Policy.Position	3	-	-	-	-	lowers(static)
cedargo	method	Policy.SetFilename	3	-	-	-	-	lowers(static)
cedargo	method	Policy.AST	3	-	-	-	-	lowers(static)
cedargo	func	NewPolicyListFromBytes	10	-	-	-	-	lowers(static)
cedargo	method	PolicyList.UnmarshalCedar	13	-	fmt.Errorf	-	-	lowers(static)
cedargo	method	PolicyList.MarshalCedar	11	bytes.Buffer.Bytes	bytes.Buffer.Write,bytes.Buffer.WriteString	-	bytes.Buffer	refused(static)
cedargo	method	PolicyMap.All	3	maps.All	-	sig:imported-generic-inst:iter.Seq2	-	refused(static)
cedargo	func	NewPolicySet	3	-	-	-	-	lowers(static)
cedargo	func	NewPolicySetFromBytes	12	-	fmt.Sprintf	-	-	lowers(static)
cedargo	method	PolicySet.Get	3	-	-	-	-	lowers(static)
cedargo	method	PolicySet.Add	5	-	-	-	-	lowers(static)
cedargo	method	PolicySet.Remove	5	-	-	-	-	lowers(static)
cedargo	method	PolicySet.Map	3	maps.Clone	-	-	-	refused(static)
cedargo	method	PolicySet.MarshalCedar	20	bytes.Buffer.Bytes	bytes.Buffer.Write,bytes.Buffer.WriteString,slices.Sort	-	bytes.Buffer	refused(static)
cedargo	method	PolicySet.MarshalJSON	9	encoding/json.Marshal	-	-	-	refused(static)
cedargo	method	PolicySet.UnmarshalJSON	13	encoding/json.Unmarshal	-	-	-	refused(static)
cedargo	method	PolicySet.IsAuthorized	3	-	-	-	-	lowers(static)
cedargo	method	PolicySet.All	9	-	-	sig:imported-generic-inst:iter.Seq2	-	refused(static)
cedargo	func	NewEncoder	3	-	-	-	io.Writer	lowers(static)
cedargo	method	Encoder.Encode	3	-	-	-	-	lowers(static)
cedargo	func	NewDecoder	3	-	-	-	io.Reader	lowers(static)
cedargo	method	Decoder.Decode	12	-	-	-	-	lowers(static)
cedargo	func	NewDatetimeFromMillis	3	-	-	-	-	lowers(static)
