package	decls	lowered	quarantined	share_lowered
cedargo	1	0	1	0.0%
cedargo/ast	1	0	1	0.0%
cedargo/internal/consts	1	1	0	100.0%
cedargo/internal/eval	1	0	1	0.0%
cedargo/internal/extensions	1	0	1	0.0%
cedargo/internal/json	1	0	1	0.0%
cedargo/internal/parser	1	0	1	0.0%
cedargo/internal/rust	15	10	5	66.7%
cedargo/types	1	0	1	0.0%
cedargo/x/exp/ast	1	0	1	0.0%
cedargo/x/exp/batch	1	0	1	0.0%
cedargo/x/exp/dot	1	0	1	0.0%
cedargo/x/exp/eval	1	0	1	0.0%
cedargo/x/exp/schema	1	0	1	0.0%
cedargo/x/exp/schema/ast	1	0	1	0.0%
cedargo/x/exp/schema/internal/json	1	0	1	0.0%
cedargo/x/exp/schema/internal/parser	1	0	1	0.0%
cedargo/x/exp/schema/resolved	1	0	1	0.0%
cedargo/x/exp/schema/validate	1	0	1	0.0%
cedargo/x/exp/types	1	0	1	0.0%
cedark8s/cmd/schema-formatter	2	1	1	50.0%
cedark8s/internal/schema	1	0	1	0.0%
