category	case	kind	detail
FRONTEND-REFUSED	pkg-root	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-ast	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
EXPORT-OK	pkg-internal	package	decls=25 quarantined=1
EXPORT-OK	pkg-internal__consts	package	decls=3 quarantined=0
FRONTEND-REFUSED	pkg-internal__eval	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-internal__extensions	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-internal__json	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
EXPORT-OK	pkg-internal__mapset	package	decls=30 quarantined=1
FRONTEND-REFUSED	pkg-internal__parser	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
EXPORT-OK	pkg-internal__rust	package	decls=59 quarantined=9
FRONTEND-REFUSED	pkg-types	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__ast	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__batch	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__dot	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__eval	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__schema	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__schema__ast	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__schema__internal__json	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__schema__internal__parser	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
FRONTEND-REFUSED	pkg-x__exp__schema__resolved	package	nativefrontend: native frontend unsupported: method cedargo/types.Record.All is unsupported (instantiation of imported generic type iter.Seq2[cedargo/types.String,cedargo/types.Value]) and its own SIGNATURE does not lower either (native fro
