category	case	kind	detail
FRONTEND-REFUSED	pkg-root	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-ast	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
EXPORT-OK	pkg-internal	package	decls=25 quarantined=1
EXPORT-OK	pkg-internal__consts	package	decls=3 quarantined=0
FRONTEND-REFUSED	pkg-internal__eval	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-internal__extensions	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-internal__json	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
EXPORT-OK	pkg-internal__mapset	package	decls=30 quarantined=1
FRONTEND-REFUSED	pkg-internal__parser	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
EXPORT-OK	pkg-internal__rust	package	decls=59 quarantined=9
FRONTEND-REFUSED	pkg-types	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__ast	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__batch	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__dot	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__eval	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__schema	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__schema__ast	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__schema__internal__json	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__schema__internal__parser	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__schema__resolved	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__schema__validate	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	pkg-x__exp__types	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	all	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
EXPORT-OK	k8s-cmd__schema-formatter	package	decls=7 quarantined=3
FRONTEND-REFUSED	k8s-internal__schema	package	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-authz-ast	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-authz-cedar-text	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-authz-json	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-eval-operators	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-ext-datetime	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-ext-decimal	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-ext-ipaddr	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-policy-json-roundtrip	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
FRONTEND-REFUSED	drv-validate	driver	nativefrontend: native frontend unsupported: package-selector call time.Date (package "time" surface not modeled)
