result	id	features	stage	detail
PASS	builtins/make-map-hint	builtins,make,maps,len	-	-
PASS	builtins/make-map-hint-eval/panic-map-never-created	maps,make,panic,recover,defer,evaluation_order	-	-
PASS	builtins/make-map-hint-eval/panic-uncaught	maps,make,panic,evaluation_order	-	-
PASS	builtins/make-map-hint-eval/evaluated-once	maps,make,evaluation_order	-	-
PASS	builtins/make-map-hint-eval/negative-from-call	maps,make,evaluation_order	-	-
PASS	builtins/make-map-hint-eval/zero	maps,make	-	-
PASS	builtins/make-map-hint-eval/named-int-type	maps,make	-	-
PASS	builtins/make-map-hint-eval/uint8-var	maps,make	-	-
PASS	builtins/make-map-hint-eval/untyped-const	maps,make,constants	-	-
PASS	builtins/make-map-hint-eval/typed-const	maps,make,constants	-	-
PASS	builtins/make-map-hint-eval/eval-order-with-neighbors	maps,make,evaluation_order	-	-
PASS	builtins/make-map-hint-eval/eval-order-in-expression	maps,make,evaluation_order	-	-
PASS	builtins/make-maxalloc/map-hint-over	maps,make	-	-
PASS	builtins/make-maxalloc/map-hint-negative	maps,make	-	-
PASS	builtins/make-maxalloc/map-hint-eval-order	maps,make,evaluation_order	-	-
PASS	builtins/make-map-hint-eval/index-panic-map-never-created	maps,make,panic,recover,defer,indexing,evaluation_order	-	-
PASS	builtins/make-map-hint-eval/index-panic-uncaught	maps,make,panic,indexing,evaluation_order	-	-
