# scripts/detector-soundness rows — see meta.tsv; columns:
# id	lane	features	expected_status	gc_runs(per GOMAXPROCS)	gc_verdict	machine_members	machine_race_members	machine_verdict	machine_single_run	cell	detail
channels/select-select/beside-loop	strict	channels,select,goroutines	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:alias-guard probe [0, 1, 5] failed: the probed member's run errored — unsupported: select-with-select rendezvous (unmo	ok	uncertified	-
goroutines/pipeline/two-stage	strict	goroutines,channels,range,close	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:timeout-900s	ok	uncertified	-
goroutines/pipeline/buffered-stage	strict	goroutines,channels,range,close	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:timeout-900s	ok	uncertified	-
goroutines/worker-pool/sum	confluent	goroutines,channels,closures	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:timeout-900s	ok	uncertified	-
goroutines/worker-pool/shared-feed	strict	goroutines,channels,range,close	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:timeout-900s	ok	uncertified	-
imported-goose/channel/parallel-search-replace/search-replace	strict	imported_goose,sync,waitgroup,goroutines,channels	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:site bound 9 exceeds the case's width 8 — the width assertion is REFUTED (mechanically, at pick position 21); raise th	ok	uncertified	-
imported-goose/unittest/spawn/simple-spawn	strict	imported_goose,sync,mutex,goroutines	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
spec-examples-stmt/go-statements/func-literal	strict	goroutines,channels,closures,loops,bools	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
spec-examples-stmt/prime-sieve/five	strict	goroutines,channels,range,loops,modulo	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:run consumes more than --max-sites 96 choice site(s) — raise the case's sites bound (never truncated silently)	ok	uncertified	-
spec-examples-stmt/prime-sieve/eight	strict	goroutines,channels,range,loops,modulo	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:run consumes more than --max-sites 96 choice site(s) — raise the case's sites bound (never truncated silently)	ok	uncertified	-
sync/waitgroup-workers-join/workers-join	strict	sync,waitgroup,mutex,goroutines,globals,loops	ok	p1:race=0,clean=5,exit=0,timeout=0;p8:race=0,clean=5,exit=0,timeout=0;	DRF-in-N	-	-	ENUM-FAIL:timeout-900s	ok	uncertified	-
