# scripts/detector-soundness rows — see meta.tsv; columns:
# id	lane	features	expected_status	gc_runs(per GOMAXPROCS)	gc_verdict	machine_members	machine_race_members	machine_verdict	machine_single_run	cell	detail
bools/short-circuit-funclit/e6-recv-len-in-sc	strict	bools,closures,channels,interfaces,type_assertions,slices,indexing,len,panic,evaluation_order	panic	p1:race=0,clean=0,exit=5,abnormal=0,timeout=0;p8:race=0,clean=0,exit=5,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	panic	agree-DRF	-
bools/short-circuit-funclit/e6-recv-len-outside	strict	closures,channels,interfaces,type_assertions,slices,indexing,len,panic,evaluation_order	panic	p1:race=0,clean=0,exit=5,abnormal=0,timeout=0;p8:race=0,clean=0,exit=5,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	panic	agree-DRF	-
builtins/len-vs-call-order/chan	strict	channels,len,evaluation_order,calls	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
builtins/len-vs-call-order/recv-bearing	strict	channels,len,evaluation_order,calls	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
builtins/len-vs-call-order/short-circuit	strict	channels,len,evaluation_order,calls,bools	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
builtins/len-vs-call-order/short-circuit-skipped	strict	channels,len,evaluation_order,calls,bools	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
builtins/make-channel-len-cap	strict	builtins,make,channels,len,cap	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
channels/buffered-basic	strict	channels,make,len,cap	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
channels/close-closed-panic	strict	channels,close,panic	panic	p1:race=0,clean=0,exit=5,abnormal=0,timeout=0;p8:race=0,clean=0,exit=5,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	panic	agree-DRF	-
channels/closed-receive	strict	channels,close,comma_ok,zero_values	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
