# detector-soundness PROBE manifest — BUG-080 fix slice, family U4-KIND (scripts/detector-soundness --manifest); same 10 columns as scripts/coverage-manifest output.
# id	go_dir	function	args	expected_status	features	expected_reason	lane	why	params
probe/u4kind/mu-copy-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuCopyVsLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: copy (main) vs Lock/Unlock (child); expect RED (Lock's CAS is an atomic write)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-lock-vs-copy	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuLockVsCopy	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: roles swapped — copy (child) vs Lock/Unlock (main); expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-overwrite-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuOverwriteVsLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: overwrite vs Lock/Unlock; expect RED (U4-1 shape)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-copy-vs-unlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuCopyVsUnlock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: copy vs Unlock ONLY (owner-free unlock after a pre-spawn Lock); expect RED (Unlock's atomic Add)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-contend	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuContend	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: two goroutines contend on one mutex; expect agree-DRF (atomic vs atomic never conflicts)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-siblings-under-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuSiblingsUnderLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: sibling fields written under the lock from two goroutines; expect agree-DRF (locPrefix check i)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-disjoint-prims	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuDisjointPrims	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: two disjoint primitives in one struct; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-sibling-beside-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuSiblingBesideLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: the U4-5 disjoint-field-vs-lock control kept; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-copy-vs-rlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwCopyVsRLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: copy vs RLock/RUnlock; expect GREEN (every RWMutex op is ONE plain read of rw.w in TSan's realized set — its atomics run under race.Disable)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-rlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsRLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs RLock/RUnlock; expect RED (U4-3 shape)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-copy-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwCopyVsLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: copy vs write-Lock/Unlock; expect GREEN (read/read)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs write-Lock/Unlock; expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-rlock-vs-overwrite	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwRLockVsOverwrite	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: roles swapped — overwrite (child) vs RLock/RUnlock (main); expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-runlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsRUnlock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs RUnlock ONLY; expect RED (RUnlock's plain read of rw.w)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-unlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsUnlock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs write-Unlock ONLY; expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-contend	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwContend	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex CONTROL: a reader and a writer contend; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-copy-vs-add-from-0	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgCopyVsAddFrom0	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: copy vs Add(1)-from-0/Done; expect GREEN (the sema READ vs a read)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-overwrite-vs-add-from-0	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgOverwriteVsAddFrom0	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: overwrite vs Add(1)-from-0/Done; expect RED (U4-2 shape: the sema read vs the overwrite)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-copy-vs-done	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgCopyVsDone	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: copy vs Done ONLY; expect GREEN (Done's state Add is under race.Disable)	width=4,sites=32,cap=64,work=2000000
