subject	procs	runs	race	green	other
contend	1	20	0	20	0
contend	8	20	0	20	0
plainWriteVsAdd	1	20	20	0	0
plainWriteVsAdd	8	20	20	0	0
plainReadVsStore	1	20	20	0	0
plainReadVsStore	8	20	20	0	0
plainReadVsSwap	1	20	20	0	0
plainReadVsSwap	8	20	20	0	0
plainReadVsLoad	1	20	0	20	0
plainReadVsLoad	8	20	0	20	0
plainReadVsFailedCas	1	20	20	0	0
plainReadVsFailedCas	8	20	20	0	0
publish	1	20	0	20	0
publish	8	20	0	20	0
casSpinPublish	1	20	0	20	0
casSpinPublish	8	20	0	20	0
casFailureAcquireIsolated	1	20	0	20	0
casFailureAcquireIsolated	8	20	0	20	0
rmwPublish	1	20	0	20	0
rmwPublish	8	20	0	20	0
siblingWords	1	20	0	20	0
siblingWords	8	20	0	20	0
storeOverwrite	1	20	14	0	6
storeOverwrite	8	20	6	14	0
plainThenStoreVsAdd	1	20	1	19	0
plainThenStoreVsAdd	8	20	20	0	0
plainThenStoreVsLoad	1	20	0	20	0
plainThenStoreVsLoad	8	20	19	1	0
plainThenStoreVsLateAdd	1	20	20	0	0
plainThenStoreVsLateAdd	8	20	20	0	0
plainThenStoreVsLateSwap	1	20	20	0	0
plainThenStoreVsLateSwap	8	20	20	0	0
plainThenStoreVsLateCasSuccess	1	20	20	0	0
plainThenStoreVsLateCasSuccess	8	20	20	0	0
plainThenStoreVsLateCasFail	1	20	20	0	0
plainThenStoreVsLateCasFail	8	20	20	0	0
plainThenStoreVsLateLoad	1	20	0	20	0
plainThenStoreVsLateLoad	8	20	0	20	0
nilAddress	1	20	0	20	0
nilAddress	8	20	0	20	0
structCopyVsTypedAdd	1	20	20	0	0
structCopyVsTypedAdd	8	20	20	0	0
typedSiblingField	1	20	0	20	0
typedSiblingField	8	20	0	20	0
