result	id	features	stage	detail
PASS	atomics/spin/flag-wait	sync,atomics,ints,goroutines,channels,loops,closures,race,nondet	membership	enumerated=1 exhibited=1 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/atomics/spin/flag-wait)
PASS	channels/select-multi-ready/observable	channels,select,make,len,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/channels/select-multi-ready/observable)
PASS	goroutines/sched-dependent/first-come	goroutines,channels,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/sched-dependent/first-come)
PASS	goroutines/sched-dependent/select-default-handshake	goroutines,channels,select,default,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/sched-dependent/select-default-handshake)
PASS	goroutines/sched-dependent/len-handoff	goroutines,channels,len,make,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/sched-dependent/len-handoff)
PASS	goroutines/sched-dependent/waiter-pick	goroutines,channels,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/sched-dependent/waiter-pick)
PASS	goroutines/select-arrival-multi	goroutines,channels,select,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/select-arrival-multi)
PASS	goroutines/select-wake-close-selsel	goroutines,channels,select,close,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/select-wake-close-selsel)
PASS	goroutines/select-wake-multi	goroutines,channels,select,close,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/select-wake-multi)
PASS	goroutines/send-then-spin	goroutines,channels,loops,nondet	membership	enumerated=1 exhibited=1 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/send-then-spin)
PASS	goroutines/wake-then-abort	goroutines,channels,panic,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/wake-then-abort)
PASS	goroutines/wake-window/buffered-send	goroutines,channels,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/wake-window/buffered-send)
PASS	goroutines/wake-window/close-recv	goroutines,channels,close,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/goroutines/wake-window/close-recv)
PASS	imported-goose/channel/google-search	imported_goose,channels,goroutines,nondet	membership	CERTIFIED-CACHED (certified 2026-09-01  commit: T1 fidelity round, dc122857 (E8 fileOrder wire record); samples + driver-coupling checked against the tracked set; full re-certification via scripts/ci --slow): members=6 exhibited=3 unexhibited=3 samples=5
PASS	maps/added-entry-count	maps,range,evaluation_order,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/maps/added-entry-count)
PASS	maps/cross-goroutine-delete-readd/drf	maps,delete,range,goroutines,channels,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/maps/cross-goroutine-delete-readd/drf)
PASS	maps/cross-goroutine-delete-readd/insert	maps,delete,range,goroutines,channels,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/maps/cross-goroutine-delete-readd/insert)
PASS	maps/delete-insert-readd-during-range	maps,delete,range,evaluation_order,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/maps/delete-insert-readd-during-range)
PASS	maps/delete-readd-during-range	maps,delete,range,evaluation_order,nondet	membership	enumerated=3 exhibited=1 unexhibited=2 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/maps/delete-readd-during-range)
PASS	maps/jitter-draw	maps,range,keys,loops,nondet	membership	enumerated=5 exhibited=4 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/maps/jitter-draw)
PASS	maps/range-first-key	maps,range,keys,loops,nondet	membership	enumerated=3 exhibited=2 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/maps/range-first-key)
PASS	multipkg/mini-raft-twin/choice-order	multipackage,structs,maps,slices,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/multipkg/mini-raft-twin/choice-order)
PASS	noodler/membership/two-senders-buffered	goroutines,channels,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/noodler/membership/two-senders-buffered)
PASS	noodler/membership/three-key-map-order	maps,range,nondet	membership	enumerated=6 exhibited=3 unexhibited=3 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/noodler/membership/three-key-map-order)
PASS	noodler/membership/select-two-ready	channels,select,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/noodler/membership/select-two-ready)
PASS	noodler/membership/insert-then-delete-during-range	maps,range,delete,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/noodler/membership/insert-then-delete-during-range)
PASS	race/atomics-free/publish-acquire	sync,atomics,ints,goroutines,closures,race,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/race/atomics-free/publish-acquire)
PASS	race/atomics-free/rmw-acquire	sync,atomics,ints,goroutines,closures,race,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/race/atomics-free/rmw-acquire)
PASS	race/atomics-free/cas-failure-acquires	sync,atomics,ints,goroutines,channels,loops,closures,race,nondet	membership	enumerated=1 exhibited=1 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/race/atomics-free/cas-failure-acquires)
PASS	race/litmus/sb-chan	goroutines,channels,select,default,race,nondet	membership	enumerated=3 exhibited=2 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/race/litmus/sb-chan)
PASS	slices/append-spill-below-formula	slices,append,cap,strings,nondet	membership	enumerated=31 exhibited=1 unexhibited=30 samples=1 (members in <worktree>/artifacts/sampling-budget/before/membership/slices/append-spill-below-formula)
PASS	slices/append-spill-size-class	slices,append,cap,nondet	membership	enumerated=300 exhibited=1 unexhibited=299 samples=1 (members in <worktree>/artifacts/sampling-budget/before/membership/slices/append-spill-size-class)
PASS	slices/append-spill-stack-buffer	slices,append,cap,bytes,nondet	membership	enumerated=29 exhibited=2 unexhibited=27 samples=1 (members in <worktree>/artifacts/sampling-budget/before/membership/slices/append-spill-stack-buffer)
PASS	slices/full-slice-cap-zero	slices,full_slice,append,cap,aliasing,nondet	membership	enumerated=32 exhibited=2 unexhibited=30 samples=1 (members in <worktree>/artifacts/sampling-budget/before/membership/slices/full-slice-cap-zero)
PASS	sync/atomic-frontier/mp-litmus	sync,atomics,goroutines,nondet	membership	enumerated=3 exhibited=1 unexhibited=2 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/sync/atomic-frontier/mp-litmus)
PASS	sync/mutex-order/acquisition-order	sync,mutex,goroutines,channels,globals,nondet	membership	enumerated=2 exhibited=1 unexhibited=1 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/sync/mutex-order/acquisition-order)
PASS	sync/rwmutex-order/acquisition	sync,rwmutex,goroutines,channels,globals,nondet	membership	enumerated=2 exhibited=2 unexhibited=0 samples=5 (members in <worktree>/artifacts/sampling-budget/before/membership/sync/rwmutex-order/acquisition)
