id	enumerated	samplesParam	drawsAtGate	distinctAtGate	drawsHere	distinctHere	distinctPlain	distinctRace	firstDrawOfLastNew	secPerDraw	enumSource	note
channels/select-multi-ready/observable	2	5	10	2	80	2	2	2	3	0.71	fresh-enumeration	-
goroutines/sched-dependent/first-come	2	5	10	2	80	2	1	2	7	0.71	fresh-enumeration	-
goroutines/sched-dependent/select-default-handshake	2	5	10	1	80	1	1	1	1	0.71	fresh-enumeration	-
goroutines/sched-dependent/len-handoff	2	5	10	1	80	2	1	2	51	0.72	fresh-enumeration	-
goroutines/sched-dependent/waiter-pick	2	5	10	2	80	2	1	2	8	0.71	fresh-enumeration	-
goroutines/select-arrival-multi	2	5	10	2	80	2	1	2	6	0.71	fresh-enumeration	-
goroutines/select-wake-close-selsel	2	5	10	2	80	2	2	2	2	0.71	fresh-enumeration	-
goroutines/select-wake-multi	2	5	10	1	80	2	1	2	66	0.68	fresh-enumeration	-
goroutines/send-then-spin	1	5	10	1	80	1	1	1	1	0.71	fresh-enumeration	-
goroutines/wake-then-abort	2	5	10	1	80	1	1	1	1	0.22	fresh-enumeration	-
goroutines/wake-window/buffered-send	2	5	10	2	80	2	2	1	4	0.22	fresh-enumeration	-
goroutines/wake-window/close-recv	2	5	10	2	80	2	2	1	3	0.21	fresh-enumeration	-
imported-goose/channel/google-search	6	5	10	2	80	5	1	5	50	0.61	certified-record	-
maps/added-entry-count	2	5	10	1	80	2	2	2	12	0.58	fresh-enumeration	-
maps/delete-readd-during-range	3	5	10	1	80	1	1	1	1	0.60	fresh-enumeration	-
maps/jitter-draw	5	5	10	4	80	5	4	5	52	0.85	fresh-enumeration	-
maps/range-first-key	3	5	10	3	80	3	3	3	5	0.78	fresh-enumeration	-
multipkg/mini-raft-twin/choice-order	2	5	10	2	80	2	2	2	7	0.83	fresh-enumeration	-
race/litmus/sb-chan	3	5	10	1	80	2	1	2	48	0.86	fresh-enumeration	-
slices/append-spill-below-formula	31	1	2	1	80	1	1	1	1	0.85	fresh-enumeration	-
slices/append-spill-size-class	300	1	2	1	80	1	1	1	1	0.81	fresh-enumeration	-
slices/append-spill-stack-buffer	29	1	2	2	80	2	1	1	2	0.83	fresh-enumeration	-
slices/full-slice-cap-zero	32	1	2	2	80	2	1	1	2	0.82	fresh-enumeration	-
sync/atomic-frontier/mp-litmus	0	5	10	1	80	2	1	2	62	0.83	fresh-enumeration	ENUMERATION FAILED: coverage-observations: machine step failed under pick assignment [] — cannot certify the observation set: unsupported: frontend-quarantined: package-selector call atomic.StoreInt32 (package "sync/at; 2 distinct sample(s) NOT in the enumerated set (textual compare)
sync/mutex-order/acquisition-order	2	5	10	1	80	1	1	1	1	0.84	fresh-enumeration	-
sync/rwmutex-order/acquisition	2	5	10	2	80	2	2	2	6	0.76	fresh-enumeration	-
