category	test	detail
FRONTEND-REFUSED	235.go	builtin println in statement position
FRONTEND-REFUSED	abi/convF_criteria.go	package-selector call fmt.Println (package \
FRONTEND-REFUSED	abi/convT64_criteria.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{F0 uint32}
MATCH	abi/defer_aggregate.go	status=ok
MATCH	abi/defer_recover_results.go	status=ok
FRONTEND-REFUSED	abi/double_nested_addressed_struct.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__double_nested_addressed_struct/main.go carries build constraint "//go:build !wasm"
FRONTEND-REFUSED	abi/double_nested_struct.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__double_nested_struct/main.go carries build constraint "//go:build !wasm" using res
FRONTEND-REFUSED	abi/fibish_closure.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__fibish_closure/main.go carries build constraint "//go:build !wasm" using reserved 
FRONTEND-REFUSED	abi/fibish.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__fibish/main.go carries build constraint "//go:build !wasm" using reserved tag "was
FRONTEND-REFUSED	abi/f_ret_z_not.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__f_ret_z_not/main.go carries build constraint "//go:build !wasm" using reserved tag
FRONTEND-REFUSED	abi/fuzz_trailing_zero_field.go	nativefrontend: native frontend unsupported: constant kind Complex
FRONTEND-REFUSED	abi/idata.go	package-selector call big.NewRat (package \
FRONTEND-REFUSED	abi/leaf2.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__leaf2/main.go carries build constraint "//go:build !wasm" using reserved tag "wasm
FRONTEND-REFUSED	abi/leaf.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__leaf/main.go carries build constraint "//go:build !wasm" using reserved tag "wasm"
FRONTEND-REFUSED	abi/many_int_input.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__many_int_input/main.go carries build constraint "//go:build !wasm" using reserved 
FRONTEND-REFUSED	abi/many_intstar_input.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__many_intstar_input/main.go carries build constraint "//go:build !wasm" using reser
FRONTEND-REFUSED	abi/map.go	package-selector call runtime.SetFinalizer (package \
MATCH	abi/method_wrapper.go	status=ok
FRONTEND-REFUSED	abi/more_intstar_input.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__more_intstar_input/main.go carries build constraint "//go:build !wasm" using reser
FRONTEND-REFUSED	abi/named_results.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__named_results/main.go carries build constraint "//go:build !wasm" using reserved t
FRONTEND-REFUSED	abi/named_return_stuff.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__named_return_stuff/main.go carries build constraint "//go:build !wasm" using reser
FRONTEND-REFUSED	abi/open_defer_1.go	method main.T.M (builtin println in statement position; satisfaction answers, calls fail closed)
FRONTEND-REFUSED	abi/part_live_2.go	basic type unsafe.Pointer
FRONTEND-REFUSED	abi/part_live.go	basic type unsafe.Pointer
FRONTEND-REFUSED	abi/reg_not_ssa.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__reg_not_ssa/main.go carries build constraint "//go:build !wasm" using reserved tag
MATCH	abi/result_regalloc.go	status=ok
FRONTEND-REFUSED	abi/return_stuff.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__return_stuff/main.go carries build constraint "//go:build !wasm" using reserved ta
FRONTEND-REFUSED	abi/spills3.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__spills3/main.go carries build constraint "//go:build !wasm" using reserved tag "wa
FRONTEND-REFUSED	abi/spills4.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__spills4/main.go carries build constraint "//go:build !wasm" using reserved tag "wa
FRONTEND-REFUSED	abi/s_sif_sif.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__s_sif_sif/main.go carries build constraint "//go:build !wasm" using reserved tag "
MATCH	abi/store_reg_args.go	status=ok
FRONTEND-REFUSED	abi/struct_3_string_input.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__struct_3_string_input/main.go carries build constraint "//go:build !wasm" using re
FRONTEND-REFUSED	abi/struct_lower_1.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__struct_lower_1/main.go carries build constraint "//go:build !wasm" using reserved 
FRONTEND-REFUSED	abi/too_big_to_ssa.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__too_big_to_ssa/main.go carries build constraint "//go:build !wasm" using reserved 
FRONTEND-REFUSED	abi/uglyfib.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__uglyfib/main.go carries build constraint "//go:build !wasm" using reserved tag "wa
FRONTEND-REFUSED	abi/wrapdefer_largetmp.go	nativefrontend: native frontend unsupported: file artifacts/gotest/cases/abi__wrapdefer_largetmp/main.go carries build constraint "//go:build !wasm" using reser
MATCH	abi/zombie_struct_select.go	status=ok
MATCH	alias1.go	status=ok
MATCH	align.go	status=ok
FRONTEND-REFUSED	append.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{name string; result interface{}; expected interface{}}
MATCH	armimm.go	status=ok
MACHINE-REFUSED	atomicload.go	wall-clock timeout after 30s (go: ok)
FRONTEND-REFUSED	bigalg.go	builtin println in statement position
FRONTEND-REFUSED	bigmap.go	builtin println in statement position
FRONTEND-REFUSED	blank.go	nativefrontend: native frontend unsupported: anonymous non-empty struct type struct{a int; b int; c int}
FRONTEND-REFUSED	chancap.go	nativefrontend: native frontend unsupported: unsafe.Sizeof at artifactsits folded value is gc's IMPLEMENTATION-SPECIFIC memory layout (spec#Size_and_alignment_g
FRONTEND-REFUSED	chan/doubleselect.go	nativefrontend: native frontend unsupported: package-selector call flag.Int (package "flag" surface not modeled)
FRONTEND-REFUSED	chan/fifo.go	builtin print in statement position
