category	case	kind	detail
FRONTEND-REFUSED	pkg-root	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-ast	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
EXPORT-OK	pkg-internal	package	decls=25 quarantined=1
EXPORT-OK	pkg-internal__consts	package	decls=3 quarantined=0
FRONTEND-REFUSED	pkg-internal__eval	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-internal__extensions	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-internal__json	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
EXPORT-OK	pkg-internal__mapset	package	decls=39 quarantined=2
FRONTEND-REFUSED	pkg-internal__parser	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
EXPORT-OK	pkg-internal__rust	package	decls=78 quarantined=2
FRONTEND-REFUSED	pkg-types	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__ast	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
FRONTEND-REFUSED	pkg-x__exp__batch	package	nativefrontend: native frontend unsupported: package-level var encoding/binary.structSize: its TYPE does not lower (sync.Map (only Mutex/RWMutex/WaitGroup/Once are modeled)) — FR-24: a reached var of an unlowerable type refuses the whole 
