# DIAGNOSTIC — NOT A LOWERING. tools/lowerdiag report: no wire is written; nothing in this file is a gate input.
kind	key	cause	fr	scope	decls	sole	packages	export_kills
cause	stdlib-package-unmodeled	stdlib-package-unmodeled	FR-14	decl	64	32	11	0
cause	stdlib-type-method	stdlib-type-method	FR-14	call	19	9	2	0
cause	reflect	reflect	out-of-language	decl	10	7	3	0
cause	slices-sort-kind	slices-sort-kind	FR-14	decl	10	6	5	1
cause	imported-generic-sig	imported-generic-sig	FR-23	export	8	6	3	8
cause	stdlib-var-unmodeled	stdlib-var-unmodeled	FR-14	decl	6	2	2	0
cause	imported-generic-inst	imported-generic-inst	FR-23	decl	36	1	10	0
cause	range-over-func	range-over-func	FR-12	decl	21	0	8	0
cause	anon-struct	anon-struct	FR-13	decl	2	0	1	0
cause	duplicate-typeid	duplicate-typeid	FR-19	export	2	0	1	2
cause	self-shadow-define	self-shadow-define	FR-17	decl	2	0	2	0
cause	stdlib-member-unmodeled	stdlib-member-unmodeled	FR-14	decl	2	0	2	0
cause	quarantine-cascade	quarantine-cascade	cascade	decl	1	0	1	0
cause	stdlib-source-gap	stdlib-source-gap	FR-21	decl	1	0	1	0
key	iter.Seq	imported-generic-sig	FR-23	-	35	5	9	-
key	encoding/json.Marshal	stdlib-package-unmodeled	FR-14	-	18	10	6	-
key	encoding/json.Unmarshal	stdlib-package-unmodeled	FR-14	-	14	12	6	-
key	maps.Keys	stdlib-package-unmodeled	FR-14	-	10	0	3	-
key	iter.Seq2	imported-generic-sig	FR-23	-	9	3	4	-
key	maps.Clone	stdlib-package-unmodeled	FR-14	-	6	5	4	-
key	errors.Is	reflect	out-of-language	-	6	4	2	-
key	hash/fnv.New64	stdlib-package-unmodeled	FR-14	-	4	2	1	-
key	net/netip.Prefix.Bits	stdlib-type-method	FR-14	-	4	0	1	-
key	time.Date	stdlib-package-unmodeled	FR-14	-	4	0	1	-
key	time.UTC	stdlib-var-unmodeled	FR-14	-	4	0	1	-
key	errors.As	reflect	out-of-language	-	3	3	1	-
key	net/netip.Prefix.Addr	stdlib-type-method	FR-14	-	3	1	1	-
key	encoding/json.Decoder.Decode	stdlib-type-method	FR-14	-	3	0	2	-
key	encoding/json.NewDecoder	stdlib-package-unmodeled	FR-14	-	3	0	2	-
key	maps.Values	stdlib-package-unmodeled	FR-14	-	3	0	1	-
key	net/netip.Addr.BitLen	stdlib-type-method	FR-14	-	3	0	1	-
key	io.EOF	stdlib-var-unmodeled	FR-14	-	2	2	1	-
key	math.Pow10	stdlib-package-unmodeled	FR-14	-	2	1	1	-
key	time.Time.UnixMilli	stdlib-type-method	FR-14	-	2	1	1	-
key	net/netip.Addr.Is4In6	stdlib-type-method	FR-14	-	2	0	1	-
key	net/netip.Addr.String	stdlib-type-method	FR-14	-	2	0	1	-
key	time.Time.UTC	stdlib-type-method	FR-14	-	2	0	1	-
key	time.UnixMilli	stdlib-package-unmodeled	FR-14	-	2	0	1	-
key	maps.Copy	stdlib-package-unmodeled	FR-14	-	1	1	1	-
key	net/netip.Addr.Is4	stdlib-type-method	FR-14	-	1	1	1	-
key	net/netip.Addr.Is6	stdlib-type-method	FR-14	-	1	1	1	-
key	sort.Strings	stdlib-package-unmodeled	FR-14	-	1	1	1	-
key	time.Duration.Milliseconds	stdlib-type-method	FR-14	-	1	1	1	-
key	bytes.Join	stdlib-source-gap	FR-21	-	1	0	1	-
key	encoding/binary.Write	reflect	out-of-language	-	1	0	1	-
key	encoding/json.Decoder.DisallowUnknownFields	stdlib-type-method	FR-14	-	1	0	1	-
key	encoding/json.Decoder.UseNumber	stdlib-type-method	FR-14	-	1	0	1	-
key	encoding/json.Number.Int64	stdlib-type-method	FR-14	-	1	0	1	-
key	flag.Arg	stdlib-package-unmodeled	FR-14	-	1	0	1	-
key	flag.Parse	stdlib-package-unmodeled	FR-14	-	1	0	1	-
key	fmt.Fprintln	stdlib-member-unmodeled	FR-14	-	1	0	1	-
key	fmt.Println	stdlib-member-unmodeled	FR-14	-	1	0	1	-
key	maps.All	stdlib-package-unmodeled	FR-14	-	1	0	1	-
key	net/netip.Addr.IsLoopback	stdlib-type-method	FR-14	-	1	0	1	-
key	net/netip.Addr.IsMulticast	stdlib-type-method	FR-14	-	1	0	1	-
key	net/netip.Addr.Zone	stdlib-type-method	FR-14	-	1	0	1	-
key	net/netip.ParseAddr	stdlib-package-unmodeled	FR-14	-	1	0	1	-
key	net/netip.ParsePrefix	stdlib-package-unmodeled	FR-14	-	1	0	1	-
key	net/netip.Prefix.Contains	stdlib-type-method	FR-14	-	1	0	1	-
key	net/netip.Prefix.MarshalBinary	stdlib-type-method	FR-14	-	1	0	1	-
key	net/netip.Prefix.Masked	stdlib-type-method	FR-14	-	1	0	1	-
key	net/netip.Prefix.String	stdlib-type-method	FR-14	-	1	0	1	-
key	net/netip.PrefixFrom	stdlib-package-unmodeled	FR-14	-	1	0	1	-
key	os.ReadFile	stdlib-package-unmodeled	FR-14	-	1	0	1	-
key	time.Time.Add	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.After	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Before	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Date	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Day	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Format	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Hour	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Minute	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Month	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Nanosecond	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Second	stdlib-type-method	FR-14	-	1	0	1	-
key	time.Time.Year	stdlib-type-method	FR-14	-	1	0	1	-
