category	case	kind	detail
EXPORT-OK	pkg-root	package	decls=1880 quarantined=524
EXPORT-OK	pkg-ast	package	decls=1512 quarantined=475
EXPORT-OK	pkg-internal	package	decls=25 quarantined=1
EXPORT-OK	pkg-internal__consts	package	decls=3 quarantined=0
EXPORT-OK	pkg-internal__eval	package	decls=1379 quarantined=487
EXPORT-OK	pkg-internal__extensions	package	decls=889 quarantined=448
EXPORT-OK	pkg-internal__json	package	decls=1192 quarantined=465
EXPORT-OK	pkg-internal__mapset	package	decls=39 quarantined=2
EXPORT-OK	pkg-internal__parser	package	decls=1331 quarantined=458
EXPORT-OK	pkg-internal__rust	package	decls=78 quarantined=2
EXPORT-OK	pkg-types	package	decls=887 quarantined=448
EXPORT-OK	pkg-x__exp__ast	package	decls=1105 quarantined=448
EXPORT-OK	pkg-x__exp__batch	package	decls=1922 quarantined=530
EXPORT-OK	pkg-x__exp__dot	package	decls=909 quarantined=451
EXPORT-OK	pkg-x__exp__eval	package	decls=1387 quarantined=487
EXPORT-OK	pkg-x__exp__schema	package	decls=1636 quarantined=480
EXPORT-OK	pkg-x__exp__schema__ast	package	decls=931 quarantined=448
EXPORT-OK	pkg-x__exp__schema__internal__json	package	decls=973 quarantined=455
EXPORT-OK	pkg-x__exp__schema__internal__parser	package	decls=1493 quarantined=466
EXPORT-OK	pkg-x__exp__schema__resolved	package	decls=1022 quarantined=455
EXPORT-OK	pkg-x__exp__schema__validate	package	decls=1756 quarantined=478
EXPORT-OK	pkg-x__exp__types	package	decls=1767 quarantined=481
EXPORT-OK	all	package	decls=2541 quarantined=571
EXPORT-OK	k8s-cmd__schema-formatter	package	decls=73 quarantined=5
EXPORT-OK	k8s-internal__schema	package	decls=958 quarantined=449
FRONTEND-REFUSED	drv-authz-ast	driver	at run: fmt.Sprintf format \ (go: ok; quarantined=524/1880)
FRONTEND-REFUSED	drv-authz-cedar-text	driver	at run: method cedargo/internal/parser.scanner.next (stdlib-qualified selector io.EOF in value position: only allowlisted DIRECT CALLS of modeled stdlib members lower (E5 shims / fmt desugar); the value shape is outside the modeled surface (package (go: ok; quarantined=524/1880)
FRONTEND-REFUSED	drv-authz-json	driver	at run: method cedargo/types.EntityMap.UnmarshalJSON (package-selector call json.Unmarshal (package \ (go: ok; quarantined=524/1880)
FRONTEND-REFUSED	drv-eval-operators	driver	at run: generic instantiation artifacts/cedar/cases/drv-eval-operators/cedargo/types/entity_uid.go:143:9 (go: ok; quarantined=524/1886)
FRONTEND-REFUSED	drv-ext-datetime	driver	at run: fmt.Errorf format \ (go: ok; quarantined=448/887)
FRONTEND-REFUSED	drv-ext-decimal	driver	at run: fmt.Errorf format \ (go: ok; quarantined=448/888)
MACHINE-REFUSED	drv-ext-ipaddr	driver	{"message":"default value for imported named type net/netip.Addr","schema":"golean-observation-v1","status":"unsupported"} (go: ok)
FRONTEND-REFUSED	drv-policy-json-roundtrip	driver	at run: method cedargo/internal/parser.scanner.next (stdlib-qualified selector io.EOF in value position: only allowlisted DIRECT CALLS of modeled stdlib members lower (E5 shims / fmt desugar); the value shape is outside the modeled surface (package (go: ok; quarantined=524/1880)
FRONTEND-REFUSED	drv-validate	driver	at run: method cedargo/x/exp/schema/internal/parser.lexer.skipWhitespaceAndComments (len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered call/receive in the same statement (hoisting len wou (go: ok; quarantined=510/2094)
