# DIAGNOSTIC — NOT A LOWERING. tools/lowerdiag report: no wire is written; nothing in this file is a gate input.
package	decls	funcs_methods	lowers_static	funcs_methods_lower_static	may_refuse	refused_static	share_lowers	lowers_after_top3	export_status
cedargo/internal/consts	9	1	9	1	0	0	100.0%	9	ok
cedargo/internal	6	0	6	0	0	0	100.0%	6	ok
cedargo/internal/mapset	27	23	21	17	0	6	77.8%	25	KILLED (own: method ImmutableMapSet.All: imported-generic-sig iter.Seq; method MapSet.All: imported-generic-sig iter.Seq)
cedargo/internal/rust	21	15	21	15	0	0	100.0%	21	ok
xexp/constraints	6	0	6	0	0	0	100.0%	6	ok
cedargo/types	197	133	147	85	0	50	74.6%	183	KILLED (own: method Record.All: imported-generic-sig iter.Seq2; method Record.Keys: imported-generic-sig iter.Seq; method Record.Values: imported-generic-sig iter.Seq; method Set.All: imported-generic-sig iter.Seq; var maxDatetime: init-callee-unmodeled time.Date; var maxDatetime: stdlib-package-unmodeled time.Date; var maxDatetime: stdlib-var-unmodeled time.UTC; var minDatetime: init-callee-unmodeled time.Date; var minDatetime: stdlib-package-unmodeled time.Date; var minDatetime: stdlib-var-unmodeled time.UTC)
cedargo/internal/extensions	3	1	3	1	0	0	100.0%	3	KILLED (inherited from cedargo/types)
cedargo/x/exp/ast	225	163	225	163	0	0	100.0%	225	KILLED (inherited from cedargo/types)
cedargo/internal/json	52	33	47	28	0	5	90.4%	50	KILLED (own: method nodeJSON.MarshalJSON: duplicate-typeid nodeJSONAlias; method nodeJSON.UnmarshalJSON: duplicate-typeid nodeJSONAlias)
cedargo/internal/parser	193	125	190	122	1	2	98.4%	191	KILLED (inherited from cedargo/types)
cedargo/ast	98	93	98	93	0	0	100.0%	98	KILLED (inherited from cedargo/internal/json)
cedargo/internal/eval	242	171	236	165	0	6	97.5%	236	KILLED (inherited from cedargo/types)
cedargo	84	43	77	37	0	7	91.7%	81	KILLED (own: method PolicyMap.All: imported-generic-sig iter.Seq2; method PolicySet.All: imported-generic-sig iter.Seq2)
cedargo/x/exp/batch	25	12	21	8	0	4	84.0%	22	KILLED (inherited from cedargo)
cedargo/x/exp/dot	3	3	1	1	0	2	33.3%	1	KILLED (inherited from cedargo/types)
cedargo/x/exp/eval	10	8	10	8	0	0	100.0%	10	KILLED (inherited from cedargo/types)
cedargo/x/exp/schema/ast	44	20	44	20	0	0	100.0%	44	KILLED (inherited from cedargo/types)
cedargo/x/exp/schema/internal/json	20	11	16	7	0	4	80.0%	19	KILLED (inherited from cedargo/types)
cedargo/x/exp/schema/internal/parser	80	53	76	49	0	4	95.0%	76	KILLED (inherited from cedargo/types)
cedargo/x/exp/schema/resolved	45	28	43	26	0	2	95.6%	43	KILLED (inherited from cedargo/types)
cedargo/x/exp/schema	10	9	10	9	0	0	100.0%	10	KILLED (inherited from cedargo/types)
cedargo/x/exp/schema/validate	157	131	149	123	0	8	94.9%	151	KILLED (inherited from cedargo/types)
cedargo/x/exp/types	11	9	8	6	0	3	72.7%	10	KILLED (inherited from cedargo/types)
main	1	1	1	1	0	0	100.0%	1	KILLED (inherited from cedargo)
