# DIAGNOSTIC — NOT A LOWERING. tools/lowerdiag report: no wire is written; nothing in this file is a gate input. (lowerdiag wire: per-declaration classification of the wire's quarantine stubs)
pkg	kind	name	status	cause	class	key
unicode/utf8	func	unicode/utf8.DecodeRune	lowered	-	-	-
unicode/utf8	func	unicode/utf8.decodeRuneSlow	lowered	-	-	-
unicode/utf8	func	unicode/utf8.DecodeRuneInString	lowered	-	-	-
unicode/utf8	func	unicode/utf8.decodeRuneInStringSlow	lowered	-	-	-
unicode/utf8	func	unicode/utf8.DecodeLastRuneInString	lowered	-	-	-
unicode/utf8	func	unicode/utf8.AppendRune	lowered	-	-	-
unicode/utf8	func	unicode/utf8.appendRuneNonASCII	lowered	-	-	-
unicode/utf8	func	unicode/utf8.RuneCountInString	lowered	-	-	-
unicode/utf8	func	unicode/utf8.RuneStart	lowered	-	-	-
unicode/utf8	func	unicode/utf8.ValidRune	lowered	-	-	-
math/bits	func	math/bits.TrailingZeros	lowered	-	-	-
math/bits	func	math/bits.TrailingZeros32	lowered	-	-	-
math/bits	func	math/bits.TrailingZeros64	lowered	-	-	-
math/bits	func	math/bits.Len	lowered	-	-	-
math/bits	func	math/bits.Len32	lowered	-	-	-
math/bits	func	math/bits.Len64	lowered	-	-	-
math/bits	func	math/bits.Mul	lowered	-	-	-
math/bits	func	math/bits.Mul32	lowered	-	-	-
math/bits	func	math/bits.Mul64	lowered	-	-	-
internal/strconv	func	internal/strconv.lower	lowered	-	-	-
internal/strconv	func	internal/strconv.ParseUint	lowered	-	-	-
internal/strconv	func	internal/strconv.underscoreOK	lowered	-	-	-
internal/strconv	func	internal/strconv.FormatUint	lowered	-	-	-
internal/strconv	func	internal/strconv.FormatInt	lowered	-	-	-
internal/strconv	func	internal/strconv.Itoa	lowered	-	-	-
internal/strconv	func	internal/strconv.formatBits	lowered	-	-	-
internal/strconv	func	internal/strconv.isPowerOfTwo	lowered	-	-	-
internal/strconv	func	internal/strconv.small	lowered	-	-	-
internal/strconv	func	internal/strconv.formatBase10	lowered	-	-	-
internal/bytealg	func	internal/bytealg.CountString	lowered	-	-	-
internal/bytealg	func	internal/bytealg.IndexString	quarantined	internal/bytealg.IndexString: stdlib source-through: internal/bytealg.IndexString's body is solely panic("unimplemented") — a portable-twin placeholder, not an implementation (stdlib-substitutions.tsv must keep every call to it dead; fail closed)	FR-21/stdlib-source-gap	stdlib-source-gap
internal/bytealg	func	internal/bytealg.Cutover	quarantined	internal/bytealg.Cutover: stdlib source-through: internal/bytealg.Cutover's body is solely panic("unimplemented") — a portable-twin placeholder, not an implementation (stdlib-substitutions.tsv must keep every call to it dead; fail closed)	FR-21/stdlib-source-gap	stdlib-source-gap
internal/bytealg	func	internal/bytealg.IndexByte	lowered	-	-	-
internal/bytealg	func	internal/bytealg.IndexByteString	lowered	-	-	-
internal/stringslite	func	internal/stringslite.HasPrefix	lowered	-	-	-
internal/stringslite	func	internal/stringslite.IndexByte	lowered	-	-	-
internal/stringslite	func	internal/stringslite.Index	lowered	-	-	-
internal/stringslite	func	internal/stringslite.Clone	lowered	-	-	-
errors	func	errors.New	lowered	-	-	-
slices	func	slices.nextPowerOfTwo	lowered	-	-	-
strconv	func	strconv.ParseUint	lowered	-	-	-
strconv	func	strconv.FormatUint	lowered	-	-	-
strconv	func	strconv.FormatInt	lowered	-	-	-
strconv	func	strconv.Itoa	lowered	-	-	-
strconv	func	strconv.toError	lowered	-	-	-
strconv	func	strconv.syntaxError	lowered	-	-	-
strconv	func	strconv.rangeError	lowered	-	-	-
strconv	func	strconv.baseError	lowered	-	-	-
strconv	func	strconv.bitSizeError	lowered	-	-	-
strconv	func	strconv.quoteWith	lowered	-	-	-
strconv	func	strconv.appendQuotedWith	lowered	-	-	-
strconv	func	strconv.appendEscapedRune	lowered	-	-	-
strconv	func	strconv.Quote	lowered	-	-	-
strconv	func	strconv.IsPrint	lowered	-	-	-
strconv	func	strconv.isInGraphicList	lowered	-	-	-
unicode	func	unicode.IsSpace	lowered	-	-	-
unicode	func	unicode.is16	lowered	-	-	-
unicode	func	unicode.is32	lowered	-	-	-
unicode	func	unicode.isExcludingLatin	lowered	-	-	-
bytes	func	bytes.growSlice$lit0	lowered	-	-	-
bytes	func	bytes.growSlice	lowered	-	-	-
bytes	func	bytes.Equal	lowered	-	-	-
bytes	func	bytes.IndexByte	lowered	-	-	-
strings	func	strings.explode	lowered	-	-	-
strings	func	strings.Count	lowered	-	-	-
strings	func	strings.genSplit	lowered	-	-	-
strings	func	strings.Split	lowered	-	-	-
strings	func	strings.Join	lowered	-	-	-
strings	func	strings.HasPrefix	lowered	-	-	-
strings	func	strings.Repeat	lowered	-	-	-
strings	func	strings.TrimLeftFunc	lowered	-	-	-
strings	func	strings.TrimRightFunc	lowered	-	-	-
strings	func	strings.TrimFunc	lowered	-	-	-
strings	func	strings.indexFunc	lowered	-	-	-
strings	func	strings.lastIndexFunc	lowered	-	-	-
strings	func	strings.TrimSpace	lowered	-	-	-
strings	func	strings.Index	lowered	-	-	-
quorum	func	quorum.MajorityConfig.String$fmt0	lowered	-	-	-
quorum	func	quorum._	lowered	-	-	-
quorum	func	quorum.goleanShimCmpCompareInt	lowered	-	-	-
quorum	func	quorum.goleanShimCmpCompareString	lowered	-	-	-
quorum	func	quorum.goleanShimCmpCompareUint	lowered	-	-	-
quorum	func	quorum.goleanShimFmtUint	lowered	-	-	-
quorum	func	quorum.goleanShimFmtInt	lowered	-	-	-
quorum	func	quorum.goleanShimFmtHex	lowered	-	-	-
quorum	func	quorum.goleanShimFmtBool	lowered	-	-	-
quorum	func	quorum.goleanShimFmtQuoteBytes	lowered	-	-	-
quorum	func	quorum.goleanShimFmtQuoteString	lowered	-	-	-
quorum	func	quorum.goleanShimFmtStringVerb	lowered	-	-	-
quorum	func	quorum.goleanShimFmtHexString	lowered	-	-	-
quorum	func	quorum.goleanShimFmtRender	lowered	-	-	-
quorum	func	quorum.goleanShimFmtRenderCall$lit0	lowered	-	-	-
quorum	func	quorum.goleanShimFmtRenderCall	lowered	-	-	-
quorum	func	quorum.goleanShimFmtError	lowered	-	-	-
quorum	func	quorum.goleanShimFmtErrorCall$lit0	lowered	-	-	-
quorum	func	quorum.goleanShimFmtErrorCall	lowered	-	-	-
quorum	func	quorum.goleanShimFmtPanicValue	lowered	-	-	-
quorum	func	quorum.goleanShimFmtPadLeft	lowered	-	-	-
quorum	func	quorum.goleanShimFmtIntPad	lowered	-	-	-
quorum	func	quorum.goleanShimFmtUintPad	lowered	-	-	-
quorum	func	quorum.goleanShimUnsupported	quarantined	golean stdlib shim RUNTIME refusal (fail closed): a modeled member hit a recorded bound at run time — the bound's text is at the shim call site. Unrecoverable BY DESIGN (audit R4-C-3): as a Go panic this was catchable, and user recover() turned refusals into silent wrong answers	FR-14/fmt-verb-matrix	fmt-verb-matrix
raftpb	func	raftpb.MarshalConfChange	lowered	-	-	-
raftpb	func	raftpb.ConfChangeV2.EnterJoint$fmt0	lowered	-	-	-
raftpb	func	raftpb.ConfChangesFromString$fmt0	lowered	-	-	-
raftpb	func	raftpb.ConfChangesFromString$fmt1	lowered	-	-	-
raftpb	func	raftpb.ConfChangesFromString	lowered	-	-	-
raftpb	func	raftpb.ConfChangesToString$fmt0	lowered	-	-	-
raftpb	func	raftpb.ConfChangesToString	lowered	-	-	-
raftpb	func	raftpb.ConfState.Equivalent$lit0	lowered	-	-	-
raftpb	func	raftpb.plainpbSizeVarint	lowered	-	-	-
raftpb	func	raftpb.plainpbAppendVarint	lowered	-	-	-
raftpb	func	raftpb.plainpbConsumeVarint	lowered	-	-	-
raftpb	func	raftpb.plainpbSkipField	lowered	-	-	-
raftpb	func	raftpb.plainpbEnumUnknown	lowered	-	-	-
raftpb	func	raftpb.EnsureConfState	lowered	-	-	-
raftpb	func	raftpb.EnsureSnapshotMetadata	lowered	-	-	-
raftpb	func	raftpb.EnsureSnapshot	lowered	-	-	-
raftpb	func	raftpb.goleanShimErrorsNew	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtDynVerb$lit0	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtDynVerb	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtDynInt	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtDynUint	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtSprintfDyn	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtSprintDyn	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtSprintlnDyn	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtUint	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtInt	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtHex	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtBool	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtQuoteBytes	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtQuoteString	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtStringVerb	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtHexString	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtRender	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtRenderCall$lit0	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtRenderCall	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtError	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtErrorCall$lit0	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtErrorCall	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtPanicValue	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtPadLeft	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtIntPad	lowered	-	-	-
raftpb	func	raftpb.goleanShimFmtUintPad	lowered	-	-	-
raftpb	func	raftpb.goleanShimUnsupported	quarantined	golean stdlib shim RUNTIME refusal (fail closed): a modeled member hit a recorded bound at run time — the bound's text is at the shim call site. Unrecoverable BY DESIGN (audit R4-C-3): as a Go panic this was catchable, and user recover() turned refusals into silent wrong answers	FR-14/fmt-verb-matrix	fmt-verb-matrix
proto	func	proto.nonNil	lowered	-	-	-
proto	func	proto.Clone	lowered	-	-	-
proto	func	proto.Marshal	lowered	-	-	-
proto	func	proto.Size	lowered	-	-	-
proto	func	proto.Unmarshal	lowered	-	-	-
tracker	func	tracker.NewInflights	lowered	-	-	-
tracker	func	tracker.Progress.SentEntries$fmt0	lowered	-	-	-
tracker	func	tracker.Progress.String$fmt0	lowered	-	-	-
tracker	func	tracker.Progress.String$fmt1	lowered	-	-	-
tracker	func	tracker.Progress.String$fmt2	lowered	-	-	-
tracker	func	tracker.ProgressMap.String$fmt0	lowered	-	-	-
tracker	func	tracker.Config.String$fmt0	lowered	-	-	-
tracker	func	tracker.Config.String$fmt1	lowered	-	-	-
tracker	func	tracker.Config.String$fmt2	lowered	-	-	-
tracker	func	tracker.Config.Clone$lit0	lowered	-	-	-
tracker	func	tracker.MakeProgressTracker	lowered	-	-	-
tracker	func	tracker.ProgressTracker.QuorumActive$lit0	lowered	-	-	-
