result	id	features	stage	detail
PASS	arrays/array-bounds	arrays,indexing,panic	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-comparable	arrays,equality,comparability	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-copy	arrays,value_copy,indexing,assignment	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-element-compound	arrays,indexing,assignment,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-len-cap	arrays,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-of-struct-field-write	arrays,structs,fields,indexing,assignment	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-param-return	arrays,calls,returns,value_copy	-	wide=0 exhausted=none depth=fixed
PASS	arrays/arrays-are-values	arrays,slices,value_copy,aliasing	-	wide=0 exhausted=none depth=fixed
PASS	arrays/arrays	arrays,indexing,assignment	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-slice-alias	arrays,slices,aliasing,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	arrays/array-zero	arrays,zero_values,indexing	-	wide=0 exhausted=none depth=fixed
PASS	arrays/defined-array-receiver	arrays,defined_type,methods,indexing,ints,quorum	-	wide=0 exhausted=none depth=fixed
PASS	arrays/index-eval-order	arrays,indexing,assignment,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	arrays/keyed-literal-eval-order	arrays,literals,indexing,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	arrays/keyed-literal-sparse	arrays,literals,indexing,len,zero_values	-	wide=0 exhausted=none depth=fixed
FAIL	arrays/materialization-budget/over-budget	arrays,globals	lean-observation	expected status ok, got {"message":"/home/dev/projects/golean/.claude/worktrees/slow-recert-2/artifacts/coverage/native/arrays/materialization-budget/over-budget/wire.json: native lowering: array type of 2097152 elements exceeds the interpreter's materialization budget (65536 elements; BUG-078 idealization boundary) at program.globals[0].type","schema":"golean-observation-v1","status":"error"}
PASS	arrays/nested-arrays	arrays,nested,indexing	-	wide=0 exhausted=none depth=fixed
PASS	arrays/nested-copy-value	arrays,nested,value_copy,indexing,assignment	-	wide=0 exhausted=none depth=fixed
PASS	arrays/nil-pointer-len-cap	arrays,pointers,nil,len,cap	-	wide=0 exhausted=none depth=fixed
