result	id	features	stage	detail
PASS	arrays/array-compare-different-length	arrays,comparability,compile_error	-	-
PASS	arrays/array-index-float	arrays,indexing,compile_error	-	-
PASS	arrays/array-length-mismatch-assign	arrays,assignment,compile_error	-	-
PASS	arrays/array-literal-too-many	arrays,literals,compile_error	-	-
PASS	arrays/array-negative-key	arrays,literals,compile_error	-	-
PASS	bools/bool-add	bools,compile_error	-	-
PASS	bools/bool-int-assign	bools,assignment,compile_error	-	-
PASS	bools/bool-order	bools,comparisons,compile_error	-	-
PASS	bools/generic-bool-add	bools,generics,type_sets,compile_error	-	-
PASS	bools/generic-bool-order	bools,generics,type_sets,compile_error	-	-
PASS	bools/generic-mixed-bool-int-and	bools,generics,type_sets,compile_error	-	-
PASS	bools/if-non-bool	bools,if,compile_error	-	-
PASS	bools/not-int	bools,compile_error	-	-
PASS	builtins/append-first-nonslice	builtins,append,compile_error	-	-
PASS	builtins/append-string-no-ellipsis	builtins,append,bytes,strings,slices,compile_error	-	-
PASS	builtins/append-string-to-rune-slice	builtins,append,strings,slices,runes,compile_error	-	-
PASS	builtins/clear-generic-any	builtins,clear,generics,compile_error	-	-
PASS	builtins/clear-non-map-slice	builtins,clear,compile_error	-	-
PASS	builtins/clear-too-few-args	builtins,clear,compile_error	-	-
PASS	builtins/clear-too-many-args	builtins,clear,compile_error	-	-
PASS	builtins/close-non-channel	builtins,close,compile_error	-	-
PASS	builtins/copy-dst-nonslice	builtins,copy,compile_error	-	-
PASS	builtins/copy-src-wrong-element	builtins,copy,slices,compile_error	-	-
PASS	builtins/copy-string-to-int-slice	builtins,copy,strings,slices,compile_error	-	-
PASS	builtins/copy-too-few-args	builtins,copy,compile_error	-	-
PASS	builtins/copy-too-many-args	builtins,copy,compile_error	-	-
PASS	builtins/delete-generic-any	builtins,delete,generics,compile_error	-	-
PASS	builtins/delete-generic-wrong-key	builtins,delete,generics,maps,compile_error	-	-
PASS	builtins/len-int	builtins,len,compile_error	-	-
PASS	builtins/make-non-make-type	builtins,make,compile_error	-	-
PASS	builtins/make-slice-float-len	builtins,make,slices,floats,compile_error	-	-
PASS	builtins/max-slice	builtins,max,slices,compile_error	-	-
PASS	builtins/max-unordered	builtins,max,slices,compile_error	-	-
PASS	builtins/min-bool	builtins,min,bools,compile_error	-	-
PASS	builtins/min-generic-unordered	builtins,min,generics,compile_error	-	-
PASS	builtins/min-mixed-types	builtins,min,typed,compile_error	-	-
PASS	builtins/min-no-args	builtins,min,compile_error	-	-
PASS	builtins/new-nil-expr	builtins,new,nil,compile_error	-	-
PASS	builtins/new-no-args	builtins,new,compile_error	-	-
PASS	builtins/new-too-many-args	builtins,new,compile_error	-	-
PASS	channels/assign-receive-to-send	channels,typed,assignment,compile_error	-	-
PASS	channels/assign-send-to-receive	channels,typed,assignment,compile_error	-	-
PASS	channels/close-receive-only	channels,close,compile_error	-	-
PASS	channels/make-channel-float-len	channels,make,floats,compile_error	-	-
PASS	channels/make-channel-too-many-args	channels,make,compile_error	-	-
PASS	channels/make-channel-wrong-len-type	channels,make,strings,compile_error	-	-
PASS	channels/receive-non-channel	channels,compile_error	-	-
PASS	channels/receive-send-only	channels,compile_error	-	-
PASS	channels/select-multiple-defaults	channels,select,default,compile_error	-	-
PASS	channels/select-non-communication	channels,select,compile_error	-	-
PASS	channels/select-receive-arity	channels,compile_error	-	-
PASS	channels/send-non-channel	channels,compile_error	-	-
PASS	channels/send-receive-only	channels,compile_error	-	-
PASS	channels/send-wrong-element	channels,typed,compile_error	-	-
PASS	comparisons/array-slice-element	comparisons,arrays,slices,comparability,compile_error	-	-
PASS	comparisons/struct-slice-field	comparisons,structs,slices,comparability,compile_error	-	-
PASS	complex/complex-mismatched-typed-args	complex,builtins,floats,compile_error	-	-
PASS	complex/complex-modulo	complex,modulo,compile_error	-	-
PASS	complex/complex-nonfloat-arg	complex,builtins,compile_error	-	-
PASS	complex/complex-order	complex,comparisons,compile_error	-	-
