
# e13-b RE-AUDIT fix round focused run (scripts/capped scripts/diff-one over the 94-row E13 family: builtins/e13-sibling-panic-order/* (61), builtins/len-vs-call-order/* (31), binop-order/operand-panic-vs-call/{call-before-left,call-before-left-div}) at the re-audit fix round's final code tip — result / id / features / stage / detail. 84 PASS (56 membership, 28 strict) / 10 FAIL (6 BUG-102 designed reds, 2 BUG-104 red-first, 2 BUG-101 red-first).
result	id	features	stage	detail
PASS	binop-order/operand-panic-vs-call/call-before-left	indexing,calls,closures,evaluation_order,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/binop-order/operand-panic-vs-call/call-before-left)
PASS	binop-order/operand-panic-vs-call/call-before-left-div	indexing,calls,closures,division,evaluation_order,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/binop-order/operand-panic-vs-call/call-before-left-div)
PASS	builtins/e13-sibling-panic-order/assert-left-call	interfaces,type_assertions,calls,panic,evaluation_order,print,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-left-call)
PASS	builtins/e13-sibling-panic-order/assert-middle	interfaces,type_assertions,calls,panic,evaluation_order,print,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-middle)
PASS	builtins/e13-sibling-panic-order/assert-arg-sibling	interfaces,type_assertions,calls,panic,evaluation_order,print,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-arg-sibling)
PASS	builtins/e13-sibling-panic-order/assert-composite-lit	interfaces,type_assertions,calls,panic,evaluation_order,print,slices,literals,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-composite-lit)
PASS	builtins/e13-sibling-panic-order/assert-return-list	interfaces,type_assertions,calls,panic,evaluation_order,print,closures,multi_result,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-return-list)
PASS	builtins/e13-sibling-panic-order/assert-left-method	interfaces,type_assertions,methods,calls,panic,evaluation_order,print,pointers,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-left-method)
PASS	builtins/e13-sibling-panic-order/assert-left-make-slice	interfaces,type_assertions,make,slices,len,indexing,panic,evaluation_order,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-left-make-slice)
PASS	builtins/e13-sibling-panic-order/assert-left-len-slice-call	interfaces,type_assertions,len,slicing,calls,panic,evaluation_order,print,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-left-len-slice-call)
PASS	builtins/e13-sibling-panic-order/assert-left-new-call	interfaces,type_assertions,new,pointers,calls,panic,evaluation_order,print,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-left-new-call)
PASS	builtins/e13-sibling-panic-order/assert-left-append	interfaces,type_assertions,append,slices,len,indexing,calls,panic,evaluation_order,nondet	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/builtins/e13-sibling-panic-order/assert-left-append)
