

# e13-b RE-AUDIT fix round — the witness matrix ([AGENT], 2026-09-05): every auditor probe (.tmp/audit/re/*, 91 programs) plus this round's 38 (.tmp/audit/re2/P*/Q*), each run through gc go1.26.5 and through the machine (coverage-observations, fn sub, --max-width 2) at the frontend of main b77f3298, the lane tip b2fd9f15, the fix-round tip d75049c0 and the RE-AUDIT tip (the Q* programs at the re-audit tip only). Machine cells: the enumerated observation set as status[output]message (the machine's re-panic observation carries only the first panic text, so recover shapes differ by output), or the refusal text. 'gc' is go run's output + panic line. Programs whose gc cell is absent from the tip's set are ROWED (BUG-101: g1/g2/g3/g4/h2/h5 — the value axis; BUG-104: P3/P23 — the compound target's hoisted temp) — none is silent; every other program either contains gc's realization in the tip's set or refuses by name.
program	sub() source	gc	machine@b77f3298 (main)	machine@b2fd9f15 (lane tip)	machine@d75049c0 (fix round)	machine@re-audit tip
P10_recover_call	func sub(){ defer func(){ r = recover().(int) + wit(5); println("r", r) }(); panic("s") }	panic: s [recovered]| panic: interface conversion: interface {} is string, not int	panic[wit 5|]s [recovered]	panic[wit 5|]s [recovered]	panic[wit 5|]s [recovered]	panic[]s [recovered] ;; panic[wit 5|]s [recovered]
P12_addr_index_call	func sub(){ a := make([]int,1); i := 9; println(sinkP(&a[i], wit(5))) }	wit 5|panic: runtime error: index out of range [9] with length 1	panic[wit 5|]runtime error: index out of range [9] with length 1	panic[wit 5|]runtime error: index out of range [9] with length 1	panic[wit 5|]runtime error: index out of range [9] with length 1	panic[]runtime error: index out of range [9] with length 1 ;; panic[wit 5|]runtime error: index out of range [9] with length 1
P12b_addr_assert_call	func sub(){ a := make([]int,1); var iv interface{} = "s"; println(sinkP(&a[iv.(int)], wit(5))) }	panic: interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
P16_slicelit_recv	func sub(){ s := []int{1}; i := 5; ch := make(chan int,1); ch <- 3; println([]int{s[i]}[0] + <-ch); println(len(ch)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f
P17_maplit_call	func sub(){ s := []int{1}; i := 5; println(map[int]int{s[i]:1}[0] + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (map literal) with a potentially-panicking payload (a probed operand in the payload) fol	panic[]runtime error: index out of range [5] with length 1
P18_tgt_min	func sub(){ x := []int{1,2,3}; t := []int{1,2}; k := 9; q := 3; var iv interface{} = "s"; x[iv.(int)] = min(q, t[k]) + wit(5); println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
P19_tgt_copy	func sub(){ x := []int{1,2,3}; d := []int{0}; s := []int{1}; var iv interface{} = "s"; x[iv.(int)] = copy(d, s) + wit(5); println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
P1_tgt_assert_recv	func sub(){ var iv interface{} = "s"; ch := make(chan int,1); ch <- 9; x[iv.(int)] = <-ch; println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int
P20_tgt_append	func sub(){ var iv interface{} = "s"; x[iv.(int)] = len(append(sl, wit(5))); println(x[0]) }	panic: interface conversion: interface {} is string, not int	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically
P21_bytesconv_slice_printroot	func sub(){ println(int([]byte(s)[1:7][0]) + len(b[j]) + wit(5)) }	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	coverage-observations:	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2
P21b_bytesconv_index_call	func sub(){ s := "ab"; println(int([]byte(s)[7]) + wit(5)) }	wit 5|panic: runtime error: index out of range [7] with length 2	panic[wit 5|]runtime error: index out of range [7] with length 2	coverage-observations:	panic[wit 5|]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2
