# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-05_typed-contract-design-review/ContractProbes.lean	680005c87937c0e6ebb6030b5c9241bf8c1ca3a63fb536ae1054b346f7c97027	3433	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	probe
docs/evidence/2026-09-05_typed-contract-design-review/README.md	52ed67f24a2e9fa7a24c681b9758ddb38088f13cb1adf66356a31f9d98332b7a	2242	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	review
docs/evidence/2026-09-05_typed-contract-design-review/SHA256SUMS	085b144031dd1223845ad5602af32b004f5178141858abe8b95058cbc2b05d86	957	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	capture
docs/evidence/2026-09-05_typed-contract-design-review/build.log	f1a692e3ddea41cc26de0ec4c8c7a6bae8002e98a36b36ddef5a29203261b41c	2045	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	gate-tail
docs/evidence/2026-09-05_typed-contract-design-review/check-go.py	b0f0123bbb91a30c3bdf5e98fa399567b4b64c169d72d7ef350f5ab69076c335	904	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	probe
docs/evidence/2026-09-05_typed-contract-design-review/go-probes.json	ef6dd158a354d7c93347d787566a9dc1912ae736fef83e7d7e6f809882bea4ab	723	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	capture
docs/evidence/2026-09-05_typed-contract-design-review/invalid-utf8.go	2199a8cc7edc39e8edcd289b5325615c154f0db565673ea75e88a004cba522f4	44	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	probe
docs/evidence/2026-09-05_typed-contract-design-review/newline-repanic.go	2ae07d24b73a84adbab14e538a845d31794767ac511c16a49486ad7f97259cde	99	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	probe
docs/evidence/2026-09-05_typed-contract-design-review/newline.go	31b08c21dc7b448d5ee9b1f59704713beac5d9ba4cfb1025a3a858c079e1f953	44	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	probe
docs/evidence/2026-09-05_typed-contract-design-review/probes.log	e5e2749fb2f0c7f7c104a3620d2969295ec3bc54864c34a7c082f5924d7874bf	1045	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	gate-tail
docs/evidence/2026-09-05_typed-contract-design-review/repanic.go	88573ef26b610dd04673b6dc23d300ccb192053f2cf6bb39d55f280bbb227e64	98	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	probe
docs/evidence/2026-09-05_typed-contract-design-review/source-hashes.json	c7d25cf9211776d85876d2e85a74bd1699bda03e589142be0d354000302b862e	4455	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	capture
docs/evidence/2026-09-05_typed-contract-design-review/unicode.go	e92c1186ef4b4b3c886efc5b2319d6e431c477f50be8c92b885d14f1687963f6	42	d3ffb32bc4ea3bae8eecde03d258e3a295f86b4d	probe
