# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_boolean-promotion-review/BooleanPool.lean	078bad607c7110a38c3c04a4150b67e6146bfdb459856da4923e7bb4c2f5c850	10198	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	source-copy
docs/evidence/2026-09-06_boolean-promotion-review/BooleanProgram.lean	5bef2c19bbf333130440d611ce7648cdb821398dbcc1a7308286580d5857e195	3633	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	source-copy
docs/evidence/2026-09-06_boolean-promotion-review/BooleanProgramTests.lean	99277883f14547072dcb0e42926424fd610e7e7913e2799e9ecf98064c0934e2	2295	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	source-copy
docs/evidence/2026-09-06_boolean-promotion-review/FrozenProgram.lean	b263b068861ed1852bccd5b9c213e1155575472b130d05a8082cd062255e64bc	13275	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	probe
docs/evidence/2026-09-06_boolean-promotion-review/FrozenTests.body	15639a1770983d5b505a51fdd33f0b3b8a8cbc1dcf99581566c1568b26ea400b	2236	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	probe
docs/evidence/2026-09-06_boolean-promotion-review/README.md	109cd4babae2ce8fbaa9407dae2ce398c1033e00a80e55e3a158f6c4fb9291cc	2511	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	review
docs/evidence/2026-09-06_boolean-promotion-review/SHA256SUMS	4c8fd3dd7b1c1143064befda04d3aeafc09ae58588b54f2a2e36b327ca45007f	907	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	capture
docs/evidence/2026-09-06_boolean-promotion-review/compare.py	cc61e159ff458aa408a5611c2cdf784296181a01f4a05a730c0205c6b0ded498	1181	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	probe
docs/evidence/2026-09-06_boolean-promotion-review/comparison.log	d51f13c8cebd2eb283ce7d6d6420d51389ae4579e656a60b2792e500f573ebd3	131	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	gate-tail
docs/evidence/2026-09-06_boolean-promotion-review/interface.log	bcb8a0522e3ee98f91fd60dab5aef217ba3270b488a9dca58d0e6b9c9f4ce75f	5560	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	gate-tail
docs/evidence/2026-09-06_boolean-promotion-review/runtime-audit.log	a3e51ab64d131e774da9674a9b43d060a88f1eb2de77c0d983fbf014f7cd66c3	5148	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	gate-tail
docs/evidence/2026-09-06_boolean-promotion-review/sources.sha256	29a1e2ced095dfee4b66b09cc1a80e169f052aab8a576104f0bb871a77d60889	2091	8b5ce6904189135332d7b1ee8e8ee566a5b821c1	capture
