# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_observer-classification/README.md	aed3a965e02c9d7c53cede0cd3c6aaf0226a7949fc0523bdf02ed9c828b3b69f	3346	b5dd407624741d4df78252f14f72650a07b06caa	review
docs/evidence/2026-09-06_observer-classification/candidate-sources.sha256	73384580abb1421e0b204b28c645feeabfcd0ebbb9c07e2712cfa74bb619ab96	1469	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/ci-hybrid-final.log	47d4758e2a0875d1f4daf5108dcd660315528068503e7e65a7f25a6e4eda0dcc	13205	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/ci-hybrid-initial.log	07153e189fd0f359ac999b81ae87aaa809891fe82ef802a247fdf330f132160d	26821	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/ci-interrupted-known-unsound.log	26580926c98d7820f9a467ecfd63bcfd3bdaf4fef415f163102d613be10c28ae	10014	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/crash-channel-design-probes.json	7d36bf5e7faee1e7f976fa9335f8121f015ff72b094dba8c8f5475585e5156d8	60330	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/default-draft-abortkind.go.txt	3d3ca0aac0ce3620c8d749ac7baf5fdd27262e5c22ed6d07a45a360e12dbd1d2	3444	b5dd407624741d4df78252f14f72650a07b06caa	probe
docs/evidence/2026-09-06_observer-classification/default-draft-abortkind_test.go.txt	5c0b64ac5ab42f56454a933e6f23dfde1bd8d727121fbc54e336b35ada491509	2988	b5dd407624741d4df78252f14f72650a07b06caa	probe
docs/evidence/2026-09-06_observer-classification/default-draft-sources.json	3bbb09d4746f66af837022d1b3532a67f4420f5d2f955e10326fd46e52041bf2	981	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/focused-hybrid.log	16d73d8067b61c0f4fb5a23e64d30494c49ec0394873e196ffad33f262554682	6882	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/focused-hybrid.meta.tsv	aa1e702ba7085f3f4ad060bb9513bf0f8edc1aedc70b9e5538c8ae4abf1e1e8b	780	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/focused-hybrid.tsv	b9291ffdfb84aac711ada10a12f0423f680efd93ade65303ee7fc782f0a6a2b2	7191	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/focused-native.log	b3a4933b95d049c78269d85657dc2b470c38beeb51a25557a857cce1983790a5	1704	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/focused.meta.tsv	7a66b761ce31ebf5a1bfc069a63e59e2edd4c915a6a89c29c96ed6805843813f	1464	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/focused.tsv	b93ecc9c99331e18d3a5b46fba29cc607b8125819ba6b6f7d8953e3f328b1748	1978	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/glued-classifier-red.json	36ecd7f57b5844ec24ab299b50cc5096813c7fa2321e25248d148ec31e0ccb19	1064	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/glued-real.json	89b190f7e28d6fdbc1715c40c6f323fcf0f517cc92f0a1ef1117f4b05609d196	3181	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/glued-system.json	6de5b621e9826812dfd1b36b01cf7ec3f43f8fbab4263290ba6f10e5e44098b6	28848	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/helper-tests-final.log	0c73f15812eb16428d46bc1f740998afb8e72555bfd3804ecb51f1a95f29e5ca	109	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/helper-tests.log	921f633f13dbcd9c6aee6ae654279cb4a8436d8add0ebfb4d0a93c2b2a17659b	543	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/hook-source-boundary.json	c6bb53d52ef913435bbf4da64976717322d89b87ec4f251dcd832a844b2b2166	1888	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-baseline-before.tsv	d74483dd0f6611acbd600fa2a48a5534b3bdbb3c2ce5e0d25a09027f81d71079	296571	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-challenges.json	c77ecda5cd3f76b3b608d6819214619efd8270101a8f7b71c071277654a815b9	161322	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-current-rows.json	a2a88084458db168be7b7b9cfce25e6389fa4a6f3cf073dcb9ac942b38e9ce61	26081	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-final-source-addendum.json	bfdfc4663be7c556313538b72a9802d9a2debce49743230fece40ac912ca7497	2035	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-full-initial-delta.json	4f7596066d6d7480227b6bb9ccafdc43221db3b5ca45219bf01c1d48b41c37ad	7588	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-full-initial.meta.tsv	3c3bbb61b93253c0a295a42d73d3b7524b04c64ed82d8785c770e3a3d9d47f25	693	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-full-initial.tsv	b9d672e2287282c7f7063dff3ee587f6fcab85a6db969256e7c2b3aa6b7a66cc	523260	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-gate-final.log	8dca9329dcbcc506319f7de946bff125c1ce517df0140c2d7abfa967180b20fd	12329	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/hybrid-native-records.json	18a648ea10636a9abf0bfb1c77e953b731771d766008dbb412a961ff64a5bda4	446216	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-probes.py	dd754ca12db38e6b7a8bc726477e255164210ad6a5728f8115fce59bd0226802	6624	b5dd407624741d4df78252f14f72650a07b06caa	probe
docs/evidence/2026-09-06_observer-classification/hybrid-production-sources.json	cb75e0b7bf5f321387d9121d6ac46d7a494ef6b0dc26dbc284a5a814e855272d	1748	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/hybrid-prototype.py	da69f6cb6d249cb501a3bb7bde3b15cf463831b3c7744ced3a3900fd262877e2	8683	b5dd407624741d4df78252f14f72650a07b06caa	probe
docs/evidence/2026-09-06_observer-classification/hybrid-row-inventory.json	4ae0a66e5611dfe3eb6f697311e4363dacfca36df21621d1afdfc48f9d213ecb	12148	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/interrupted-finalized-rows.tsv	9d3f21b62cbaba9eba9417b5ee2088104416bf1667d811d941eba9916369bb64	35589	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/interrupted-run.json	91001b042fc47e99c1be8a0d8f32d360bd59afd90aea0d8574fe2fec431a8daa	381	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/interrupted-source.sha256	73384580abb1421e0b204b28c645feeabfcd0ebbb9c07e2712cfa74bb619ab96	1469	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/lane-validation-fixed.log	ad9c4b68a46f39c099a4fa6bd76f8b6745b5bf92e364e32a935fde519d40765d	12622	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/minimal-red.log	61b1da8a7eac237b114f42292b07fb68845b2f90d5ca162f1964da2da3933921	245	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/printed-header-green.log	0c73f15812eb16428d46bc1f740998afb8e72555bfd3804ecb51f1a95f29e5ca	109	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/printed-header-red.log	38d4535f27e7554c23e5f38b511e13afc44fd0590f5f74668a11320c8c29dec4	582	b5dd407624741d4df78252f14f72650a07b06caa	gate-tail
docs/evidence/2026-09-06_observer-classification/runtime-sources.json	b6d347f2031c899aefc27f6f2dc41f5980d23606a8582f7f96108b6069ad549d	1057	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/string-member-probes.json	bb669ed91e344a4d5c7be1d44a82594f7018b6f6971c069d8118139e5344661f	32731	b5dd407624741d4df78252f14f72650a07b06caa	capture
docs/evidence/2026-09-06_observer-classification/string-member-probes.py	9e135c35c9dca2a40d452d4813bf22bfab48a5b965c9e4796ae6969766b0a73d	3182	b5dd407624741d4df78252f14f72650a07b06caa	probe
docs/evidence/2026-09-06_observer-classification/system-draft-before-printed-panic.go.txt	de7ff06873493761c349d383d0c84dfaa15859471cfae818ad5230c5cf794f29	4811	b5dd407624741d4df78252f14f72650a07b06caa	probe
