# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_panic-rendering-review/README.md	9dc23fc4b828738d16a48eeb78572861515364f8c1c239dde3577f57588f08f7	4965	c7eeaf578cf92701e2e06632ef6c1d881d303b71	review
docs/evidence/2026-09-06_panic-rendering-review/Review.lean	405fed446530a0cc63239f5adf346b8e821219c652daec8ed4aaad45b00c1e1c	1806	c7eeaf578cf92701e2e06632ef6c1d881d303b71	probe
docs/evidence/2026-09-06_panic-rendering-review/SHA256SUMS	a59a14d9b40e4d32e3472586c9faf68f564ce580912a920d7458d5372b5f7a6f	1226	c7eeaf578cf92701e2e06632ef6c1d881d303b71	capture
docs/evidence/2026-09-06_panic-rendering-review/carriage-return-before-newline.go	d99ae6a54a21453564c70dd16a1d6c8f5347ba5edfd44e40862b4128aeed2aad	108	c7eeaf578cf92701e2e06632ef6c1d881d303b71	probe
docs/evidence/2026-09-06_panic-rendering-review/carriage-return-before-newline.stderr	f0183404cd925c41eb0becbc71919e000122887556d1bc311c4934d5bd9f7657	463	c7eeaf578cf92701e2e06632ef6c1d881d303b71	gate-tail
docs/evidence/2026-09-06_panic-rendering-review/carriage-return-before-newline.stdout	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	c7eeaf578cf92701e2e06632ef6c1d881d303b71	gate-tail
docs/evidence/2026-09-06_panic-rendering-review/control-bytes.go	2fe4f2ae7b542811c6420bac50bdb1459478e42323ede079f1a7ea8f1cf5faf2	64	c7eeaf578cf92701e2e06632ef6c1d881d303b71	probe
docs/evidence/2026-09-06_panic-rendering-review/control-bytes.stderr	d48214ab474c19efc1f8e5f730533cf1f9a67b5bd269f17e5099d9ae2bc8bfbc	183	c7eeaf578cf92701e2e06632ef6c1d881d303b71	gate-tail
docs/evidence/2026-09-06_panic-rendering-review/control-bytes.stdout	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	c7eeaf578cf92701e2e06632ef6c1d881d303b71	gate-tail
docs/evidence/2026-09-06_panic-rendering-review/go-probes.json	29b7b438438455ad540505252b0b236b15c82ed93b8eeb8d158d9de57350b320	389	c7eeaf578cf92701e2e06632ef6c1d881d303b71	capture
docs/evidence/2026-09-06_panic-rendering-review/kernel-probes.log	828abfb8bc1c717a2c62c132f4a6ac6dcb77dab81c6cadbb347de6502d47f068	526	c7eeaf578cf92701e2e06632ef6c1d881d303b71	gate-tail
docs/evidence/2026-09-06_panic-rendering-review/maximum-scalar.go	b77cc55c3ecdb7fdf6d07a2d12dc04a0e44bc11dac1a314ffcf1791c09c878f1	67	c7eeaf578cf92701e2e06632ef6c1d881d303b71	probe
docs/evidence/2026-09-06_panic-rendering-review/maximum-scalar.stderr	ea454303629e7c54e2b1473feb693ed09d90a97f52dfc44af473e3fced147ecb	183	c7eeaf578cf92701e2e06632ef6c1d881d303b71	gate-tail
docs/evidence/2026-09-06_panic-rendering-review/maximum-scalar.stdout	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	c7eeaf578cf92701e2e06632ef6c1d881d303b71	gate-tail
docs/evidence/2026-09-06_panic-rendering-review/provenance.json	bf1d4f093c1c3ddbf709e23bf4528179113ebcad2dad06a5bd0a0555f17f88fb	2927	c7eeaf578cf92701e2e06632ef6c1d881d303b71	capture
