# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_recovery-control-independent/Probes.lean	d43c842a271bf3353d49d7a3fdea178c1ae2bce1630a62b6bb02f0aaf982a20b	5645	1078c910a09c32991f2dc4b6529e3e7730e61383	probe
docs/evidence/2026-09-06_recovery-control-independent/README.md	78726dcf04f10ba584e739976d84dc68efa2b899f94843945b8a34494f2e100b	5996	1078c910a09c32991f2dc4b6529e3e7730e61383	review
docs/evidence/2026-09-06_recovery-control-independent/SHA256SUMS	6cdb4c35e6d6b1ae1728f2f7f437c1511a1af61681cbb3cd97222b190c25bdfe	1200	1078c910a09c32991f2dc4b6529e3e7730e61383	capture
docs/evidence/2026-09-06_recovery-control-independent/author-gate-1.log	b1f80799f72bd1d15feb895c4c130ac9049921b302df19153df79ff641447679	2864	1078c910a09c32991f2dc4b6529e3e7730e61383	gate-tail
docs/evidence/2026-09-06_recovery-control-independent/author-gate-2.log	3518dfa2db3ee4603cef479d620f646b28f5582d1b1704fd186d10809f9a2854	9744	1078c910a09c32991f2dc4b6529e3e7730e61383	gate-tail
docs/evidence/2026-09-06_recovery-control-independent/base-sources.sha256	70b65e2ea98ee077c1b44f074a1f14a7393bedbdeb0df04ea9dcb9307ca9aa4b	9059	1078c910a09c32991f2dc4b6529e3e7730e61383	capture
docs/evidence/2026-09-06_recovery-control-independent/build.log	15aa66a46d67e9f88f2c337e526f0d9e7e3cbdff03c3a4f52e4a1384b00a3fa9	41	1078c910a09c32991f2dc4b6529e3e7730e61383	gate-tail
docs/evidence/2026-09-06_recovery-control-independent/compile.py	eea0300390ebe8d01d289d0b31d70131c4df8b4e2d3a0ebdabb6dd1be30b1347	670	1078c910a09c32991f2dc4b6529e3e7730e61383	probe
docs/evidence/2026-09-06_recovery-control-independent/modules.json	0af207cfe36c9991f8eeb8868c7f71d1d52dcf4ab0bdef1013110cedf78d82e4	702	bfecf455ac4ef00e49dc27a2464c597cc2ac3e32	capture
docs/evidence/2026-09-06_recovery-control-independent/probes-1.log	6048a796eb43ace691f83f95fdbe7a37f75087f4cb5aa97d80a6ee0371fd11c1	1632	1078c910a09c32991f2dc4b6529e3e7730e61383	gate-tail
docs/evidence/2026-09-06_recovery-control-independent/probes-2.log	f1dc2a6d9edf0470f275b533929e60a09a329e1450386ad8362fa1588f377f38	214	1078c910a09c32991f2dc4b6529e3e7730e61383	gate-tail
docs/evidence/2026-09-06_recovery-control-independent/provenance.json	c4e3e0306880b4fbc83c7e8bf342ad5a64eeea69a478dbb6f78d10a44147c695	487	1078c910a09c32991f2dc4b6529e3e7730e61383	capture
docs/evidence/2026-09-06_recovery-control-independent/source-1.log	7fe15f62f8bce162aee3a2592592af023a0ffc0ca41830d880a1dae7a8da0512	419	1078c910a09c32991f2dc4b6529e3e7730e61383	gate-tail
docs/evidence/2026-09-06_recovery-control-independent/source-2.log	a203a17d7fb6dc7c43933d7fdcdc061e4b0651a584fb254e9fce9b3785bc8a0a	1153	1078c910a09c32991f2dc4b6529e3e7730e61383	gate-tail
docs/evidence/2026-09-06_recovery-control-independent/sources.sha256	00d9253ea73bcf1574f0ff5c38b24d50bd141ff94c2c913f466782d61e85c79a	2125	1078c910a09c32991f2dc4b6529e3e7730e61383	capture
docs/evidence/2026-09-06_recovery-control-independent/sources.tar.gz	48b627a7b61f9b7871e6bfd6a417911965e4314e20e22316e6db627f38ae622b	42165	1078c910a09c32991f2dc4b6529e3e7730e61383	archive
