# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_recovery-control-promotion-review/Probes.lean	dc93192512cbe4041ff29bc50d1763604808f75d300b25f15c37c092dd3489b5	1265	e4318e019b5a549ffee6e6f5c26a32991a6226e5	probe
docs/evidence/2026-09-06_recovery-control-promotion-review/README.md	f279bbb79d8ec2c2e69fd097e3ad7fd729c5cefbee2b73167a276aefa0703fea	3334	e4318e019b5a549ffee6e6f5c26a32991a6226e5	review
docs/evidence/2026-09-06_recovery-control-promotion-review/SHA256SUMS	f7676827a7a1f4e50b4e12e28cc13d56378f6b772e84e7e2783165e7f297e377	813	e4318e019b5a549ffee6e6f5c26a32991a6226e5	capture
docs/evidence/2026-09-06_recovery-control-promotion-review/author-source.sha256	00d9253ea73bcf1574f0ff5c38b24d50bd141ff94c2c913f466782d61e85c79a	2125	e4318e019b5a549ffee6e6f5c26a32991a6226e5	capture
docs/evidence/2026-09-06_recovery-control-promotion-review/compare.py	c7f7eb739797fbeffd735c77612c2967f84ce0a5bc612dfe07f0d2995f839f1c	3088	e4318e019b5a549ffee6e6f5c26a32991a6226e5	probe
docs/evidence/2026-09-06_recovery-control-promotion-review/comparison.json	6324af1611d3641cef08f92d0a3c486496abae7ac1f137d080794bc38895f95f	14564	e4318e019b5a549ffee6e6f5c26a32991a6226e5	capture
docs/evidence/2026-09-06_recovery-control-promotion-review/comparison.log	2af9a521fd4e0d5199145dbdcff2c595edf4c9011d45e9ecfaca1b476db3a2f6	120	e4318e019b5a549ffee6e6f5c26a32991a6226e5	gate-tail
docs/evidence/2026-09-06_recovery-control-promotion-review/probes.log	d37122f447a7ae9786574b7cf9d5eaf3ab9c72d391d86db11a6bef14c9e5bcee	12470	e4318e019b5a549ffee6e6f5c26a32991a6226e5	gate-tail
docs/evidence/2026-09-06_recovery-control-promotion-review/promotion-source.sha256	d073a29e244654a7ccbd3579a827178b818d98f274e538a448b7dd965193bce5	363	e4318e019b5a549ffee6e6f5c26a32991a6226e5	capture
docs/evidence/2026-09-06_recovery-control-promotion-review/source-hashes.json	75444ca8007357a07132c8f8744caa3da23a416baa889f159cede5e29d81e276	2784	e4318e019b5a549ffee6e6f5c26a32991a6226e5	capture
docs/evidence/2026-09-06_recovery-control-promotion-review/source.tar.gz	27f60c9cf4b058b00e75944ee16eb28d8d976a69329db7358f0eb0e7e8355edf	51696	e4318e019b5a549ffee6e6f5c26a32991a6226e5	archive
