# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_recovery-entry-review/2026-09-06_recovery-entry-contract.md	b8ee099e5d0c17f3eb75eef9383c28fef4666941f77dfca338ec63b3f47fc8fd	7331	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	review
docs/evidence/2026-09-06_recovery-entry-review/Probes.lean	94ae4c86b984d83f9ebc8f2c77dbaa8c2f1f88110106621e25b84b4e6ab051cc	4375	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	probe
docs/evidence/2026-09-06_recovery-entry-review/README.md	1b1b11f9e52d1e5e52a12f15bca513a7f555953c154c010a97b3dbe544d5f518	5364	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	review
docs/evidence/2026-09-06_recovery-entry-review/ci.log	d254ab4eceee83aa63bdf2b9789d307f2c1257112fa74e74638bc4acf250d883	37041	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	gate-tail
docs/evidence/2026-09-06_recovery-entry-review/frozen-source.sha256	a28109eb4d7abeda2f73183e7ae9e0bde9862e406a3c2cbfa1bb81825d151c88	1261	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	capture
docs/evidence/2026-09-06_recovery-entry-review/probes.log	d1213b124343553d6f265f7babe3d0e73eb8e063bc2f5015d9f92b55920f1b99	857	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	gate-tail
docs/evidence/2026-09-06_recovery-entry-review/review.sha256	1408df5cb94d902547ab40e01b7962ecc695a4e821004292a379da9e0a5a07b3	833	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	capture
docs/evidence/2026-09-06_recovery-entry-review/runtime-reuse.json	e0eb42503edec87bb0e62f3a640c2c849fe0189dc9bb923820c57b8ce565bdd1	2462	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	capture
docs/evidence/2026-09-06_recovery-entry-review/setup-gate-2.log	b8c496efe749d1e616496658b7113c16809749fb87f07b5497656be8f44eb690	5528	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	gate-tail
docs/evidence/2026-09-06_recovery-entry-review/source.tar.gz	271ed56696f157dc8e49bda7d24d3c5d1dd0d4b681404b82b80650eec7bd45fb	32275	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	archive
docs/evidence/2026-09-06_recovery-entry-review/supporting-sources.json	4d4d3e909ee0d6136d327305cf495c80c0b388a289da99255e2eae9bb1e46d10	844	4158368f5ab873bd9ed7785e98b9c9ecee94eb01	capture
