# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_recovery-promotion-review/README.md	718400699f6581021de37a98cedc65431a5ea3c1a79f1aa31e931c6416ffccc1	2828	0079ece965485474d1e1911a6d51ace915adeb3b	review
docs/evidence/2026-09-06_recovery-promotion-review/SHA256SUMS	75640dbc04e321242fc0cd43c1babf6bdae517c8c18f888ff4846cfbe37da1b6	957	0079ece965485474d1e1911a6d51ace915adeb3b	capture
docs/evidence/2026-09-06_recovery-promotion-review/comparison.json	8de6afb151a2974f140c1785a80b079c7a5fbc4d2ab3cb9a3dd766eb3cb3d5c8	2665	0079ece965485474d1e1911a6d51ace915adeb3b	capture
docs/evidence/2026-09-06_recovery-promotion-review/interface-completed.log	b235692c2346b1e06868a5c99f025c5dee98832a6b1f08c66da9ff8ac5abb28a	10902	0079ece965485474d1e1911a6d51ace915adeb3b	gate-tail
docs/evidence/2026-09-06_recovery-promotion-review/sources/GoLean/Interface.lean	e0c43021f928485b5536e71e9f1eed9023e006ad832b5051c48bfd6cf9bdd3b7	4937	0079ece965485474d1e1911a6d51ace915adeb3b	probe
docs/evidence/2026-09-06_recovery-promotion-review/sources/Tests/InterfaceAudit.lean	4d291fa466112a3ee1d28bfdaba9f400ac5ee62c92393c997ef25b03052084e1	7105	0079ece965485474d1e1911a6d51ace915adeb3b	probe
docs/evidence/2026-09-06_recovery-promotion-review/sources/Tests/RecoveryTypingAudit.lean	aaa180e2ccadab098138f2a17811c3f0bfb2dfd5ec42dafa7a412f0b3b1d3c9f	4552	0079ece965485474d1e1911a6d51ace915adeb3b	source-copy
docs/evidence/2026-09-06_recovery-promotion-review/sources/scripts/check-interface	9d2a5df759ce39ee8cabc31df59cc21418f37100819515874975875c5950a37c	1376	0079ece965485474d1e1911a6d51ace915adeb3b	probe
docs/evidence/2026-09-06_recovery-promotion-review/sources/scripts/check-interface.py	779f7ac15fe148aece11c1cd987faf2cb99a44e520ac44fc5d7d92dcb0479843	6948	0079ece965485474d1e1911a6d51ace915adeb3b	probe
docs/evidence/2026-09-06_recovery-promotion-review/sources/scripts/check-recovery-typing	f7870e88823f902a4949add6a1965d66be8f51f75585ed793687b6457111b12b	2997	0079ece965485474d1e1911a6d51ace915adeb3b	source-copy
docs/evidence/2026-09-06_recovery-promotion-review/sources/tools/recovery-typing-audit.py	1eef46ec41160d2f1109404b1d4490695c7e7d73cc0469384301f96396bd15ec	3142	0079ece965485474d1e1911a6d51ace915adeb3b	source-copy
