# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# columns: path	sha256	bytes	origin_commit	class
docs/evidence/2026-09-06_recovery-storage-independent/README.md	15082a7aa49ea01be0177a8f64f324a16093ad88817ec46a7deb78da57a960f9	3647	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	review
docs/evidence/2026-09-06_recovery-storage-independent/Review.lean	c5e12d81c27d90c43ea848a9e4cc6a8f5c2166695f9f3d9c876d57c0c0affa57	3646	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	probe
docs/evidence/2026-09-06_recovery-storage-independent/ReviewedStorage.lean	1b5ef11f8ef51f02ea48e0d4f3015bf6295a10f33e8435a01f61ad34cc6b3ed7	34543	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	probe
docs/evidence/2026-09-06_recovery-storage-independent/SHA256SUMS	600648777d7e77336c71feb9a54b8cca90e7112bbb49b8b22e902a2307cf1de2	934	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	capture
docs/evidence/2026-09-06_recovery-storage-independent/author-ci.log	85f413bef4be909e95c2c925d5dfaf2ec37179a583d48d535cec468d31c361fb	31849	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	gate-tail
docs/evidence/2026-09-06_recovery-storage-independent/author-gate.log	2e9507e9d41ae5f3389e19127c992bf7548eff1abc3b410a41826f00c478e763	5124	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	gate-tail
docs/evidence/2026-09-06_recovery-storage-independent/author-sources.sha256	786fe0f45feded4708ce55fdfb1ce75018f46456e4654b8149c468dc69c74a85	1162	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	capture
docs/evidence/2026-09-06_recovery-storage-independent/provenance.json	17c4fb01bfd9832fbc7b29504060762be4b53223b479cef3b3ce541dffd07218	305	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	capture
docs/evidence/2026-09-06_recovery-storage-independent/sources.sha256	26c6629dd83c04eab9ac916eca090fd5c06ccc29b095d675f7043e7e2c8fbaec	619	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	capture
docs/evidence/2026-09-06_recovery-storage-independent/storage-review-probes-1.log	c69dc548096f5bf3727c8e1ffdbb7fba33dc528325062a96c80c13b0e879e2d9	597	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	gate-tail
docs/evidence/2026-09-06_recovery-storage-independent/storage-review-probes-2.log	d8e7fbf23722f6bbf975c39cab52835a6bc3800f8ba1d4c1cbadf7d8299e30d7	99	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	gate-tail
docs/evidence/2026-09-06_recovery-storage-independent/storage-review-source.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	efc2712ca6ab5877fba540f3f7ff2c0a211351a1	gate-tail
