# gc draw table for the membership rows of landing chunk L3 (plain/-race alternating, K=32): id, draws, distinct gc observations, gc's drawn first line(s) with counts, the machine's enumerated members (both, from the enumerator's observations.txt). Produced by the L3 worker from artifacts/coverage/membership/<id>/{samples,draws,observations}.txt after `scripts/diff-one <ids>` at the landing tip; go1.26.5 linux/amd64.
id	draws	distinct	gc_drawn	machine_members
panic-recover/repanic-collapse/bool-reboxed	32	1	'true [recovered, repanicked]'×32	'true [recovered, repanicked]' | 'true [recovered]'
panic-recover/repanic-collapse/defined-passthrough	32	1	'main.Code(7) [recovered, repanicked]'×32	'main.Code(7) [recovered, repanicked]' | 'main.Code(7) [recovered]'
panic-recover/repanic-collapse/defined-reboxed	32	1	'main.Code(1000) [recovered]'×32	'main.Code(1000) [recovered, repanicked]' | 'main.Code(1000) [recovered]'
panic-recover/repanic-collapse/empty-literals	32	1	' [recovered, repanicked]'×32	' [recovered, repanicked]' | ' [recovered]'
panic-recover/repanic-collapse/empty-reboxed	32	1	' [recovered]'×32	' [recovered, repanicked]' | ' [recovered]'
panic-recover/repanic-collapse/global-var	32	1	'orig [recovered]'×32	'orig [recovered, repanicked]' | 'orig [recovered]'
panic-recover/repanic-collapse/index-two-faults	32	1	'runtime error: index out of range [5] with length 1 [recovered]'×32	'runtime error: index out of range [5] with length 1 [recovered, repanicked]' | 'runtime error: index out of range [5] with length 1 [recovered]'
panic-recover/repanic-collapse/int-literals	32	1	'1000 [recovered, repanicked]'×32	'1000 [recovered, repanicked]' | '1000 [recovered]'
panic-recover/repanic-collapse/int-reboxed	32	1	'7 [recovered]'×32	'7 [recovered, repanicked]' | '7 [recovered]'
panic-recover/repanic-collapse/multiple	32	1	'orig [recovered, repanicked]'×32	'orig [recovered, repanicked]' | 'orig [recovered]'
panic-recover/repanic-collapse/nil-passthrough	32	1	'panic called with nil argument [recovered, repanicked]'×32	'panic called with nil argument [recovered, repanicked]' | 'panic called with nil argument [recovered]'
panic-recover/repanic-collapse/passthrough-var	32	1	'orig [recovered, repanicked]'×32	'orig [recovered, repanicked]' | 'orig [recovered]'
panic-recover/repanic-collapse/reboxed-string	32	1	'orig [recovered]'×32	'orig [recovered, repanicked]' | 'orig [recovered]'
panic-recover/repanic-collapse/runtime-computed	32	1	'orig [recovered]'×32	'orig [recovered, repanicked]' | 'orig [recovered]'
panic-recover/repanic-collapse/runtime-error-passthrough	32	1	'runtime error: invalid memory address or nil pointer dereference [recovered, repanicked]'×32	'runtime error: invalid memory address or nil pointer dereference [recovered, repanicked]' | 'runtime error: invalid memory address or nil pointer dereference [recovered]'
panic-recover/repanic-collapse/runtime-error-two-faults	32	1	'runtime error: invalid memory address or nil pointer dereference [recovered, repanicked]'×32	'runtime error: invalid memory address or nil pointer dereference [recovered, repanicked]' | 'runtime error: invalid memory address or nil pointer dereference [recovered]'
panic-recover/repanic-collapse/two-literals	32	1	'orig [recovered, repanicked]'×32	'orig [recovered, repanicked]' | 'orig [recovered]'
panic-recover/repanic-collapse/unicode-literals	32	1	'é [recovered, repanicked]'×32	'é [recovered, repanicked]' | 'é [recovered]'
panic-recover/repanic-same-value-abort	32	1	'orig [recovered, repanicked]'×32	'orig [recovered, repanicked]' | 'orig [recovered]'
