# judgements-per-anchor rollup (spec+mem), from the same census run
# deps/go @ c19862e5f841; commits touching the section / issue refs in them
# NOTE: '(preamble)' is pre-first-anchor content — every release's subtitle/date bump
# lands there, so its count is dominated by version-line churn, not rulings
doc	anchor	commits	issue_refs
spec	(preamble)	479	274
spec	Composite_literals	54	30
spec	Conversions	50	17
spec	Constant_expressions	35	12
spec	For_statements	33	12
spec	Implementation_differences	32	7
spec	Method_declarations	31	13
spec	Operators	31	19
spec	Package_unsafe	31	19
spec	Selectors	31	19
mem	(preamble)	30	15
spec	Calls	26	6
spec	Struct_types	26	15
spec	Arithmetic_operators	25	3
spec	Assignments	25	6
spec	Constants	25	17
spec	Making_slices_maps_and_channels	25	8
spec	Type_switches	25	8
spec	Comparison_operators	24	8
spec	Index_expressions	24	15
spec	Map_types	24	8
spec	Variable_declarations	24	12
spec	Channel_types	23	7
spec	Interface_types	23	9
spec	Type_declarations	23	9
spec	Types	23	8
spec	Appending_and_copying_slices	22	11
spec	For_range	22	19
spec	Return_statements	22	7
spec	Predeclared_identifiers	21	4
spec	Type_identity	21	12
spec	Length_and_capacity	20	6
spec	Type_assertions	20	8
spec	Function_types	19	4
spec	Operands	19	7
spec	Select_statements	19	3
spec	Short_variable_declarations	19	17
spec	Import_declarations	18	4
spec	Slices	18	7
spec	Declarations_and_scope	17	7
spec	Program_execution	17	10
spec	Receive_operator	17	8
spec	String_literals	17	6
spec	Assignability	16	6
spec	Numeric_types	16	2
spec	Slice_types	16	6
spec	Array_types	15	8
spec	Defer_statements	15	5
spec	Function_declarations	15	7
spec	Handling_panics	15	5
spec	Method_expressions	15	4
spec	Primary_expressions	15	5
spec	Address_operators	14	5
spec	Order_of_evaluation	14	4
spec	Passing_arguments_to_..._parameters	14	3
spec	Expression_switches	13	8
spec	Indexes	13	3
spec	Instantiations	13	6
spec	Introduction	13	5
spec	Method_sets	13	7
spec	Qualified_identifiers	13	5
spec	Size_and_alignment_guarantees	13	6
spec	Iota	12	3
spec	Slice_expressions	12	7
spec	Characters	11	2
spec	Complex_numbers	11	9
spec	Conversions_to_and_from_a_string_type	11	6
spec	Goto_statements	11	3
spec	Notation	11	5
spec	Operator_precedence	11	6
spec	Type_constraints	11	8
spec	Assignment_compatibility	10	0
spec	Communication_operators	10	0
spec	Source_code_representation	10	1
spec	Constant_declarations	9	6
spec	Expression_statements	9	2
spec	General_interfaces	9	3
spec	Integer_overflow	9	3
spec	The_zero_value	9	2
spec	Type_definitions	9	4
spec	Type_inference	9	0
spec	Allocation	8	3
spec	Built-in_functions	8	3
spec	Continue_statements	8	3
spec	Core_types	8	2
spec	Deletion_of_map_elements	8	1
spec	Pointer_types	8	2
spec	Rune_literals	8	9
spec	Semicolons	8	3
spec	Send_statements	8	5
spec	An_example_package	7	1
spec	Bootstrapping	7	2
spec	Break_statements	7	2
spec	Close	7	4
spec	Comparison_compatibility	7	0
spec	Exported_identifiers	7	2
spec	Function_literals	7	2
spec	Package_initialization	7	6
spec	Representability	7	1
spec	Statements	7	0
spec	String_types	7	3
spec	Blocks	6	0
spec	Close_and_closed	6	2
spec	Conversions_from_slice_to_array_pointer	6	7
spec	Copying_slices	6	0
spec	Floating-point_literals	6	5
spec	Foo	6	0
spec	Integer_literals	6	6
