# spec-archaeology census: doc/go_mem.html
# regenerated by scripts/mine-spec-archaeology from deps/go @ c19862e5f841
# rows: 39 commits (full --follow history at the pin)
# anchors are mapped against EACH COMMIT'S OWN file version
date	sha	issues	anchors	subject
2009-02-20	82c38cf8dd62	-	-	draft of memory model.
2009-03-22	482cbb1f3358	-	(preamble)	change file name so it can be copied without name change to a more public place.
2009-09-17	698c6c00a0bd	-	(preamble),Foo	A step towards "externalizing" some Go docs. + style sheet: like code.google.com but less feature-ful + JS with table-of-contents generation + tweaked go_spec.html and go_mem.html to use new style+JS + static-HTML-ified a few other Go docs:   + static HTML versions of some wiki pages (which I'll turn     into links to these pages).
2009-09-29	69d13b2332d6	-	Foo	make the sidebars consistent add Effective Go to the set of links
2009-10-01	53440da83578	-	(preamble)	Factored out boilerplate from all html docs in doc directory: - the first HTML comment in those files is extracted as page   title when serving them - lib/godoc.html is top-level template for all pages served - experimented a bit with package documentation layout   (feedback welcome) - various related cleanups
2009-11-01	4e5296d4ba82	-	(preamble)	fixups for memory model document
2009-11-08	830813f01969	-	(preamble)	assorted cleanup
2010-02-22	2551cf9d1a87	-	(preamble)	go_mem: clarified unbuffered channel sync example
2010-04-06	cc99ba0a96d6	-	(preamble)	doc/go_mem: remove semicolons
2010-09-20	b6ad32b183ec	1118	(preamble)	doc/go_mem.html: update location of "once". Fixes #1118.
2010-12-13	7ff68b365b68	-	(preamble)	go_mem: goroutine exit is not special
2010-12-14	43f459ce51c5	-	(preamble)	typo
2011-05-16	9f03d4a3f7cb	-	(preamble)	doc/go_mem.html: close happens before receive on closed channel
2011-06-10	18333f2de558	1941	(preamble)	Go memory model: minor clarification
2011-09-26	44d13e3cfe62	2277	(preamble)	doc: fix memory model read visibility bug
2012-01-19	7cb21a79a402	-	(preamble)	godoc: specify HTML page metadata with a JSON blob
2012-03-05	a22b0f82a2fd	-	(preamble)	doc: add command docs page, canonicalize reference paths
2012-03-08	5ca13f6378e0	-	(preamble)	doc: fix metadata in go_mem.html
2012-03-08	6b770f05aded	-	(preamble)	doc/go_mem: init-created goroutine behavior changes for Go 1         They can start execution even before all init functions end.
2012-03-19	7e054266c944	-	(preamble)	doc: various typos, remove apostrophes from ordinals
2012-09-11	aecf5033dfc9	4039	(preamble)	doc: Don't imply incorrect guarantees about data races.
2013-08-23	ad50f6b2139d	6227	(preamble)	doc: correct a minor go_mem.html mistake
2013-09-16	5dd74175d4c8	2547,5561,6321	(preamble)	doc: re-organize golang.org site content
2013-10-04	48ba6fe553a5	-	(preamble)	doc: move spec and memory model back to /ref/
2014-03-24	132e816734de	6242	(preamble)	doc: allow buffered channel as semaphore without initialization
2014-06-05	81a93ef24a50	6242	(preamble)	doc: fix happens-before rules for buffered channels The current wording is reversed in 2 places. Not sure how it got 4 LGTMs (mine was there as well). Update #6242.
2014-10-27	2eb1b658305b	-	(preamble)	doc/go_mem.html: don't be clever
2015-03-16	10a98dd6d912	9235	(preamble)	doc/go_mem.html: correct the channel example
2018-12-21	e7c20b791798	27808	(preamble)	doc: go_mem: clarify Once docs
2020-03-03	34830beffa63	-	(preamble)	doc/mem: remove unnecessary pre tags within same snippet
2022-06-04	865911424d50	47141,50859	(preamble),advice,atomic,badsync,chan,conclusion,go,goexit,init,introduction,locks,model,once,overview,restrictions,synchronization	doc: update Go memory model
2022-06-06	4c08260c51c6	50859	(preamble)	doc/go_mem: update revision date
2022-06-10	ff3db8d12d8e	-	model	doc: fix typos in Go memory model
2023-07-31	977e23a70766	-	restrictions	doc/go_mem: explain arrays, structs, and complex numbers
2023-08-03	3c25d832afe5	-	model	doc: fix html tags
2024-03-04	e39480f4fb5e	-	model	doc: close HTML tags
2024-11-12	c969491ed7b0	70295	model	doc/go_mem: fix broken paper link in go_mem.html
2025-03-16	38d146d57229	72891	chan	doc/go_mem: fix grammar issue
2025-08-05	bd082857a55b	-	restrictions	doc: fix typo in go memory model doc
