# spec SECTION census — the language-coverage ledger's denominator
# regenerated by scripts/extract-spec-sections from deps/go @ c19862e5f841
# rows: 158 spec + 18 mem (one per h2-h4 heading anchor, document order)
# verified at generation: every id= in each doc is a heading id, so this
# census and the anchor-lint namespace (scripts/check-spec-anchors) coincide
doc	order	level	anchor	title
spec	1	h2	Introduction	Introduction
spec	2	h2	Notation	Notation
spec	3	h2	Source_code_representation	Source code representation
spec	4	h3	Characters	Characters
spec	5	h3	Letters_and_digits	Letters and digits
spec	6	h2	Lexical_elements	Lexical elements
spec	7	h3	Comments	Comments
spec	8	h3	Tokens	Tokens
spec	9	h3	Semicolons	Semicolons
spec	10	h3	Identifiers	Identifiers
spec	11	h3	Keywords	Keywords
spec	12	h3	Operators_and_punctuation	Operators and punctuation
spec	13	h3	Integer_literals	Integer literals
spec	14	h3	Floating-point_literals	Floating-point literals
spec	15	h3	Imaginary_literals	Imaginary literals
spec	16	h3	Rune_literals	Rune literals
spec	17	h3	String_literals	String literals
spec	18	h2	Constants	Constants
spec	19	h2	Variables	Variables
spec	20	h2	Types	Types
spec	21	h3	Boolean_types	Boolean types
spec	22	h3	Numeric_types	Numeric types
spec	23	h3	String_types	String types
spec	24	h3	Array_types	Array types
spec	25	h3	Slice_types	Slice types
spec	26	h3	Struct_types	Struct types
spec	27	h3	Pointer_types	Pointer types
spec	28	h3	Function_types	Function types
spec	29	h3	Interface_types	Interface types
spec	30	h4	Basic_interfaces	Basic interfaces
spec	31	h4	Embedded_interfaces	Embedded interfaces
spec	32	h4	General_interfaces	General interfaces
spec	33	h4	Implementing_an_interface	Implementing an interface
spec	34	h3	Map_types	Map types
spec	35	h3	Channel_types	Channel types
spec	36	h2	Properties_of_types_and_values	Properties of types and values
spec	37	h3	Representation_of_values	Representation of values
spec	38	h3	Underlying_types	Underlying types
spec	39	h3	Type_identity	Type identity
spec	40	h3	Assignability	Assignability
spec	41	h3	Representability	Representability
spec	42	h3	Method_sets	Method sets
spec	43	h2	Blocks	Blocks
spec	44	h2	Declarations_and_scope	Declarations and scope
spec	45	h3	Label_scopes	Label scopes
spec	46	h3	Blank_identifier	Blank identifier
spec	47	h3	Predeclared_identifiers	Predeclared identifiers
spec	48	h3	Exported_identifiers	Exported identifiers
spec	49	h3	Uniqueness_of_identifiers	Uniqueness of identifiers
spec	50	h3	Constant_declarations	Constant declarations
spec	51	h3	Iota	Iota
spec	52	h3	Type_declarations	Type declarations
spec	53	h4	Alias_declarations	Alias declarations
spec	54	h4	Type_definitions	Type definitions
spec	55	h3	Type_parameter_declarations	Type parameter declarations
spec	56	h4	Type_constraints	Type constraints
spec	57	h4	Satisfying_a_type_constraint	Satisfying a type constraint
spec	58	h3	Variable_declarations	Variable declarations
spec	59	h3	Short_variable_declarations	Short variable declarations
spec	60	h3	Function_declarations	Function declarations
spec	61	h3	Method_declarations	Method declarations
spec	62	h2	Expressions	Expressions
spec	63	h3	Operands	Operands
spec	64	h3	Qualified_identifiers	Qualified identifiers
spec	65	h3	Composite_literals	Composite literals
spec	66	h3	Function_literals	Function literals
spec	67	h3	Primary_expressions	Primary expressions
spec	68	h3	Selectors	Selectors
spec	69	h3	Method_expressions	Method expressions
spec	70	h3	Method_values	Method values
spec	71	h3	Index_expressions	Index expressions
spec	72	h3	Slice_expressions	Slice expressions
spec	73	h3	Type_assertions	Type assertions
spec	74	h3	Calls	Calls
spec	75	h3	Passing_arguments_to_..._parameters	Passing arguments to ... parameters
spec	76	h3	Instantiations	Instantiations
spec	77	h3	Type_inference	Type inference
