# spec-archaeology census: doc/go_spec.html
# regenerated by scripts/mine-spec-archaeology from deps/go @ c19862e5f841
# rows: 926 commits (full --follow history at the pin)
# anchors are mapped against EACH COMMIT'S OWN file version
date	sha	issues	anchors	subject
2008-03-04	73823d236a06	-	(pre-anchor-era)	- added new, revised spec - updated todo
2008-03-05	28590a0abb2b	-	(pre-anchor-era)	- updated docs
2008-03-06	194ed070de81	-	(pre-anchor-era)	fix a few nits in the typography so HTML is right
2008-03-06	1cf631b4c75e	-	(pre-anchor-era)	- added missing ''''s
2008-03-06	250767174b35	-	(pre-anchor-era)	add HTML formatting; use 	/home/sanjay/bin/makehtml --mode=document go_lang.txt to generate the html output.
2008-03-06	5009237adbac	-	(pre-anchor-era)	- fixed a couple of grammar errors
2008-03-06	b1d991d6fd15	-	(pre-anchor-era)	- more grammar fixes
2008-03-06	bbced0249065	-	(pre-anchor-era)	- updated docs
2008-03-06	e6626dafa8de	-	(pre-anchor-era)	- get rid of Designator terminology
2008-03-06	f27e5df49c0f	-	(pre-anchor-era)	- fixed double-definition of StructType
2008-03-07	2aae3fcbafb3	-	(pre-anchor-era)	fix grammar for struct and interface types to make final semicolon optional
2008-03-10	8b212f67ffd6	-	(pre-anchor-era)	- attemp to correct statement syntax - introduced FieldDeclList and MethodDeclList   in consistency with other lists - made labels declarations
2008-03-11	0d1e90be1723	-	(pre-anchor-era)	- added 'nil' keyword to lang doc   (did not add 'true' and 'false' because I think these don't need to be   keywords, they can be recreated from whole cloth) - added 'new' syntax to expressions   (this is needed because of the type as 1st argument - the expression   list is probably not yet implemented, but I think we may want it   eventually) - removed optional ';'s in sieve example - make it more concise - fixed several bugs in go.atg, no parses sieve - added sieve as test case
2008-03-11	213702a3e63c	-	(pre-anchor-era)	- removed CompoundStat in favor of Block
2008-03-11	78e4320fdc3e	-	(pre-anchor-era)	- changed if/switch initial stat syntax to match go compiler and make   it consistent - changed declaration syntax to match go compiler
2008-03-11	7acb294d5801	-	(pre-anchor-era)	- replaced 's in productions everywhere with "s (we were inconsistent in   some places) - removed extra []'s around switch decl/tag expression - not needed
2008-03-11	8152cb8a712a	-	(pre-anchor-era)	examples contradicted text: '\octal' and '\hex' are fixed size
2008-03-12	e31ee76dcb5a	-	(pre-anchor-era)	- fixed typo in go_lang.txt - changed go.atg to make optional semicolons work for statements - expanded a test case
2008-03-16	65348a89b806	-	(pre-anchor-era)	SVN=112717
2008-03-17	e4ca60eca70e	-	(pre-anchor-era)	change Main, Init to lower case. make new() take an optional expression, not expression list. add an example for new().
2008-03-19	6caad961fe65	-	(pre-anchor-era)	- added extra escaped chars
2008-03-25	67aafa6f5718	-	(pre-anchor-era)	update document.  todo still: array and map literals; syntax for basic literals.
2008-03-27	4c483aa159ce	-	(pre-anchor-era)	Explain goto constraints. Add description of 'any'. Simplify and complete syntax for literals.
2008-03-27	8c1408dd8e22	-	(pre-anchor-era)	Add select statement
2008-03-27	e118551c29bb	-	(pre-anchor-era)	Fix date stamp
2008-03-27	e311457488b7	-	(pre-anchor-era)	add script to generate .html from .txt
2008-04-17	75bbce9e845c	-	(pre-anchor-era)	- added language to document .() notation - propose change to char/string productions: I find this easier to read
2008-04-17	a0d5d8089a95	-	(pre-anchor-era)	Added discussion of new, nil, and initialization.
2008-04-18	1265a0c22d7b	-	(pre-anchor-era)	- essentially reverted my change of yesterday with respect to char/string syntax - fixed indentation in many places - fixed a couple of typos
2008-04-27	f53db3eaa9d5	-	(pre-anchor-era)	Add description of type conversions.
2008-04-28	c1aba4119469	-	(pre-anchor-era)	fix description of iota to reflect reality.
