# GoLean stdlib inittask table — GENERATED by scripts/gen-inittask-table.
# DO NOT EDIT BY HAND; regenerate when the Go toolchain pin moves.
#
# toolchain: go1.26.5 linux/amd64
# generated: 2026-08-18
# rows: 362 (293 with an inittask, 6 unknown, 1 escaped)
#
# gc schedules a PRUNED set of packages for initialization: a package
# gets a `..inittask` record only if it has residual init work or an
# inittask-bearing import (cmd/compile/internal/pkginit.MakeTask), and
# cmd/link/internal/ld.inittaskSym orders exactly those records. Rows
# are read straight out of the compiled archives with `go tool nm`: a
# defined `p..inittask` means p is a node; the undefined `q..inittask`
# references are p's R_INITORDER edges.
#
# Columns, tab-separated:
#   1  LINKER SYMBOL PREFIX — objabi.PathToPrefix of the import path,
#      which is the namespace the edges and the schedule's sort key
#      live in. Equal to the import path except where the path needs
#      escaping ('.' after the last '/', and other symbol-hostile
#      bytes); column 4 carries the unescaped path for those.
#   2  1 = has an inittask (a NODE of the schedule)
#      0 = pruned (not a node; gates nothing)
#      ? = unknown — no buildable archive; the frontend REFUSES an
#          import of it rather than guessing
#   3  comma-separated inittask-bearing direct imports (the edges), as
#      symbol prefixes; empty for a pruned package, which by
#      construction can have none
#   4  the import path, when it differs from column 1; otherwise empty
archive/tar	1	bytes,errors,fmt,internal/godebug,io,io/fs,maps,math,os/user,path,path/filepath,reflect,runtime,slices,strconv,strings,sync,syscall,time	
archive/zip	1	bufio,compress/flate,encoding/binary,errors,fmt,hash,hash/crc32,internal/godebug,io,io/fs,os,path,path/filepath,slices,strings,sync,time	
bufio	1	bytes,errors,io,strings	
bytes	1	errors,internal/bytealg,io,iter,unicode	
cmp	0		
compress/bzip2	1	bufio,io,slices	
compress/flate	1	bufio,errors,fmt,io,math,sort,strconv,sync	
compress/gzip	1	bufio,compress/flate,encoding/binary,errors,fmt,hash/crc32,io,time	
compress/lzw	1	bufio,errors,fmt,io	
compress/zlib	1	bufio,compress/flate,encoding/binary,errors,fmt,hash,hash/adler32,io	
container/heap	1	sort	
container/list	0		
container/ring	0		
context	1	errors,internal/reflectlite,sync,time	
crypto	1	hash,io,strconv	
crypto/aes	1	crypto/cipher,crypto/internal/boring,crypto/internal/fips140/aes,strconv	
crypto/cipher	1	bytes,crypto/internal/fips140/aes,crypto/internal/fips140/aes/gcm,crypto/internal/fips140only,errors,io	
crypto/des	1	crypto/cipher,crypto/internal/fips140only,errors,strconv,sync	
crypto/dsa	1	crypto/internal/fips140only,crypto/internal/rand,errors,io,math/big	
crypto/ecdh	1	bytes,crypto,crypto/internal/boring,crypto/internal/fips140/ecdh,crypto/internal/fips140/edwards25519/field,crypto/internal/fips140only,crypto/internal/rand,errors,io	
